       Value     Percentile TotalCount 1/(1-Percentile)
       3.000 0.000000000000     581943           1.00
       3.000 0.100000000000     581943           1.11
       3.000 0.200000000000     581943           1.25
       3.000 0.300000000000     581943           1.43
       4.000 0.400000000000    1787623           1.67
       4.000 0.500000000000    1787623           2.00
       4.000 0.550000000000    1787623           2.22
       4.000 0.600000000000    1787623           2.50
       4.000 0.650000000000    1787623           2.86
       4.000 0.700000000000    1787623           3.33
       4.000 0.750000000000    1787623           4.00
       4.000 0.775000000000    1787623           4.44
       4.000 0.800000000000    1787623           5.00
       4.000 0.825000000000    1787623           5.71
       4.000 0.850000000000    1787623           6.67
       4.000 0.875000000000    1787623           8.00
       4.000 0.887500000000    1787623           8.89
       4.000 0.900000000000    1787623          10.00
       4.000 0.912500000000    1787623          11.43
       4.000 0.925000000000    1787623          13.33
       4.000 0.937500000000    1787623          16.00
       4.000 0.943750000000    1787623          17.78
       4.000 0.950000000000    1787623          20.00
       4.000 0.956250000000    1787623          22.86
       4.000 0.962500000000    1787623          26.67
       4.000 0.968750000000    1787623          32.00
       4.000 0.971875000000    1787623          35.56
       4.000 0.975000000000    1787623          40.00
       4.000 0.978125000000    1787623          45.71
       4.000 0.981250000000    1787623          53.33
       4.000 0.984375000000    1787623          64.00
       4.000 0.985937500000    1787623          71.11
       4.000 0.987500000000    1787623          80.00
       4.000 0.989062500000    1787623          91.43
       4.000 0.990625000000    1787623         106.67
       4.000 0.992187500000    1787623         128.00
       4.000 0.992968750000    1787623         142.22
       5.000 0.993750000000    1799177         160.00
       5.000 0.994531250000    1799177         182.86
       5.000 0.995312500000    1799177         213.33
       5.000 0.996093750000    1799177         256.00
       5.000 0.996484375000    1799177         284.44
       5.000 0.996875000000    1799177         320.00
       5.000 0.997265625000    1799177         365.71
       5.000 0.997656250000    1799177         426.67
       5.000 0.998046875000    1799177         512.00
       5.000 0.998242187500    1799177         568.89
       5.000 0.998437500000    1799177         640.00
       5.000 0.998632812500    1799177         731.43
       5.000 0.998828125000    1799177         853.33
       5.000 0.999023437500    1799177        1024.00
       5.000 0.999121093750    1799177        1137.78
       5.000 0.999218750000    1799177        1280.00
       5.000 0.999316406250    1799177        1462.86
       5.000 0.999414062500    1799177        1706.67
       5.000 0.999511718750    1799177        2048.00
       6.000 0.999560546875    1799762        2275.56
       6.000 0.999609375000    1799762        2560.00
       6.000 0.999658203125    1799762        2925.71
       6.000 0.999707031250    1799762        3413.33
       6.000 0.999755859375    1799762        4096.00
       6.000 0.999780273438    1799762        4551.11
       6.000 0.999804687500    1799762        5120.00
       6.000 0.999829101563    1799762        5851.43
       6.000 0.999853515625    1799762        6826.67
       7.000 0.999877929688    1799887        8192.00
       7.000 0.999890136719    1799887        9102.22
       7.000 0.999902343750    1799887       10240.00
       7.000 0.999914550781    1799887       11702.86
       7.000 0.999926757813    1799887       13653.33
       8.000 0.999938964844    1799951       16384.00
       8.000 0.999945068359    1799951       18204.44
       8.000 0.999951171875    1799951       20480.00
       8.000 0.999957275391    1799951       23405.71
       8.000 0.999963378906    1799951       27306.67
       8.000 0.999969482422    1799951       32768.00
       8.000 0.999972534180    1799951       36408.89
       9.000 0.999975585938    1799994       40960.00
       9.000 0.999978637695    1799994       46811.43
       9.000 0.999981689453    1799994       54613.33
       9.000 0.999984741211    1799994       65536.00
       9.000 0.999986267090    1799994       72817.78
       9.000 0.999987792969    1799994       81920.00
       9.000 0.999989318848    1799994       93622.86
       9.000 0.999990844727    1799994      109226.67
       9.000 0.999992370605    1799994      131072.00
       9.000 0.999993133545    1799994      145635.56
       9.000 0.999993896484    1799994      163840.00
       9.000 0.999994659424    1799994      187245.71
       9.000 0.999995422363    1799994      218453.33
       9.000 0.999996185303    1799994      262144.00
       9.000 0.999996566772    1799994      291271.11
      10.000 0.999996948242    1800000      327680.00
      10.000 1.000000000000    1800000
#[Mean    =        3.684, StdDeviation   =        0.483]
#[Max     =       10.000, Total count    =      1800000]
#[Buckets =            4, SubBuckets     =         2048]
