       Value     Percentile TotalCount 1/(1-Percentile)
       1.000 0.000000000000   00000001           1.00
       2.000 0.900000000000   90000000          10.00
       4.000 0.990000000000   99000000         100.00
       8.000 0.999000000000   99900000        1000.00
      16.000 0.999900000000   99990000       10000.00
      32.000 0.999990000000   99999000      100000.00
      64.000 0.999999000000   99999900     1000000.00
     128.000 0.999999900000   99999990    10000000.00
     256.000 0.999999990000   99999999   100000000.00
     512.000 1.000000000000   99999999
#[Mean    =        1.000, StdDeviation   =        7.806]
#[Max     =      625.000, Total count    =     99999999]
#[Buckets =            4, SubBuckets     =         2048]
