       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000    2612099           1.00
       0.000 0.100000000000    2612099           1.11
       0.000 0.200000000000    2612099           1.25
       0.000 0.300000000000    2612099           1.43
       0.000 0.400000000000    2612099           1.67
       0.000 0.500000000000    2612099           2.00
       0.000 0.550000000000    2612099           2.22
       0.000 0.600000000000    2612099           2.50
       0.000 0.650000000000    2612099           2.86
       0.000 0.700000000000    2612099           3.33
       0.000 0.750000000000    2612099           4.00
       0.000 0.775000000000    2612099           4.44
       0.000 0.800000000000    2612099           5.00
       0.000 0.825000000000    2612099           5.71
       0.000 0.850000000000    2612099           6.67
       1.000 0.875000000000    2999934           8.00
       1.000 0.887500000000    2999934           8.89
       1.000 0.900000000000    2999934          10.00
       1.000 0.912500000000    2999934          11.43
       1.000 0.925000000000    2999934          13.33
       1.000 0.937500000000    2999934          16.00
       1.000 0.943750000000    2999934          17.78
       1.000 0.950000000000    2999934          20.00
       1.000 0.956250000000    2999934          22.86
       1.000 0.962500000000    2999934          26.67
       1.000 0.968750000000    2999934          32.00
       1.000 0.971875000000    2999934          35.56
       1.000 0.975000000000    2999934          40.00
       1.000 0.978125000000    2999934          45.71
       1.000 0.981250000000    2999934          53.33
       1.000 0.984375000000    2999934          64.00
       1.000 0.985937500000    2999934          71.11
       1.000 0.987500000000    2999934          80.00
       1.000 0.989062500000    2999934          91.43
       1.000 0.990625000000    2999934         106.67
       1.000 0.992187500000    2999934         128.00
       1.000 0.992968750000    2999934         142.22
       1.000 0.993750000000    2999934         160.00
       1.000 0.994531250000    2999934         182.86
       1.000 0.995312500000    2999934         213.33
       1.000 0.996093750000    2999934         256.00
       1.000 0.996484375000    2999934         284.44
       1.000 0.996875000000    2999934         320.00
       1.000 0.997265625000    2999934         365.71
       1.000 0.997656250000    2999934         426.67
       1.000 0.998046875000    2999934         512.00
       1.000 0.998242187500    2999934         568.89
       1.000 0.998437500000    2999934         640.00
       1.000 0.998632812500    2999934         731.43
       1.000 0.998828125000    2999934         853.33
       1.000 0.999023437500    2999934        1024.00
       1.000 0.999121093750    2999934        1137.78
       1.000 0.999218750000    2999934        1280.00
       1.000 0.999316406250    2999934        1462.86
       1.000 0.999414062500    2999934        1706.67
       1.000 0.999511718750    2999934        2048.00
       1.000 0.999560546875    2999934        2275.56
       1.000 0.999609375000    2999934        2560.00
       1.000 0.999658203125    2999934        2925.71
       1.000 0.999707031250    2999934        3413.33
       1.000 0.999755859375    2999934        4096.00
       1.000 0.999780273438    2999934        4551.11
       1.000 0.999804687500    2999934        5120.00
       1.000 0.999829101563    2999934        5851.43
       1.000 0.999853515625    2999934        6826.67
       1.000 0.999877929688    2999934        8192.00
       1.000 0.999890136719    2999934        9102.22
       1.000 0.999902343750    2999934       10240.00
       1.000 0.999914550781    2999934       11702.86
       1.000 0.999926757813    2999934       13653.33
       1.000 0.999938964844    2999934       16384.00
       1.000 0.999945068359    2999934       18204.44
       1.000 0.999951171875    2999934       20480.00
       1.000 0.999957275391    2999934       23405.71
       1.000 0.999963378906    2999934       27306.67
       1.000 0.999969482422    2999934       32768.00
       1.000 0.999972534180    2999934       36408.89
       1.000 0.999975585938    2999934       40960.00
       2.000 0.999978637695    2999983       46811.43
       2.000 0.999981689453    2999983       54613.33
       2.000 0.999984741211    2999983       65536.00
       2.000 0.999986267090    2999983       72817.78
       2.000 0.999987792969    2999983       81920.00
       2.000 0.999989318848    2999983       93622.86
       2.000 0.999990844727    2999983      109226.67
       2.000 0.999992370605    2999983      131072.00
       2.000 0.999993133545    2999983      145635.56
       2.000 0.999993896484    2999983      163840.00
       3.000 0.999994659424    2999992      187245.71
       3.000 0.999995422363    2999992      218453.33
       3.000 0.999996185303    2999992      262144.00
       3.000 0.999996566772    2999992      291271.11
       3.000 0.999996948242    2999992      327680.00
       3.000 0.999997329712    2999992      374491.43
       4.000 0.999997711182    3000000      436906.67
       4.000 1.000000000000    3000000
#[Mean    =        0.129, StdDeviation   =        0.336]
#[Max     =        4.000, Total count    =      3000000]
#[Buckets =            4, SubBuckets     =         2048]
