      Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   11177965           1.00
       0.000 0.100000000000   11177965           1.11
       0.000 0.200000000000   11177965           1.25
       0.000 0.300000000000   11177965           1.43
       0.000 0.400000000000   11177965           1.67
       0.000 0.500000000000   11177965           2.00
       0.000 0.550000000000   11177965           2.22
       0.000 0.600000000000   11177965           2.50
       0.000 0.650000000000   11177965           2.86
       0.000 0.700000000000   11177965           3.33
       1.000 0.750000000000   14999986           4.00
       1.000 0.775000000000   14999986           4.44
       1.000 0.800000000000   14999986           5.00
       1.000 0.825000000000   14999986           5.71
       1.000 0.850000000000   14999986           6.67
       1.000 0.875000000000   14999986           8.00
       1.000 0.887500000000   14999986           8.89
       1.000 0.900000000000   14999986          10.00
       1.000 0.912500000000   14999986          11.43
       1.000 0.925000000000   14999986          13.33
       1.000 0.937500000000   14999986          16.00
       1.000 0.943750000000   14999986          17.78
       1.000 0.950000000000   14999986          20.00
       1.000 0.956250000000   14999986          22.86
       1.000 0.962500000000   14999986          26.67
       1.000 0.968750000000   14999986          32.00
       1.000 0.971875000000   14999986          35.56
       1.000 0.975000000000   14999986          40.00
       1.000 0.978125000000   14999986          45.71
       1.000 0.981250000000   14999986          53.33
       1.000 0.984375000000   14999986          64.00
       1.000 0.985937500000   14999986          71.11
       1.000 0.987500000000   14999986          80.00
       1.000 0.989062500000   14999986          91.43
       1.000 0.990625000000   14999986         106.67
       1.000 0.992187500000   14999986         128.00
       1.000 0.992968750000   14999986         142.22
       1.000 0.993750000000   14999986         160.00
       1.000 0.994531250000   14999986         182.86
       1.000 0.995312500000   14999986         213.33
       1.000 0.996093750000   14999986         256.00
       1.000 0.996484375000   14999986         284.44
       1.000 0.996875000000   14999986         320.00
       1.000 0.997265625000   14999986         365.71
       1.000 0.997656250000   14999986         426.67
       1.000 0.998046875000   14999986         512.00
       1.000 0.998242187500   14999986         568.89
       1.000 0.998437500000   14999986         640.00
       1.000 0.998632812500   14999986         731.43
       1.000 0.998828125000   14999986         853.33
       1.000 0.999023437500   14999986        1024.00
       1.000 0.999121093750   14999986        1137.78
       1.000 0.999218750000   14999986        1280.00
       1.000 0.999316406250   14999986        1462.86
       1.000 0.999414062500   14999986        1706.67
       1.000 0.999511718750   14999986        2048.00
       1.000 0.999560546875   14999986        2275.56
       1.000 0.999609375000   14999986        2560.00
       1.000 0.999658203125   14999986        2925.71
       1.000 0.999707031250   14999986        3413.33
       1.000 0.999755859375   14999986        4096.00
       1.000 0.999780273438   14999986        4551.11
       1.000 0.999804687500   14999986        5120.00
       1.000 0.999829101563   14999986        5851.43
       1.000 0.999853515625   14999986        6826.67
       1.000 0.999877929688   14999986        8192.00
       1.000 0.999890136719   14999986        9102.22
       1.000 0.999902343750   14999986       10240.00
       1.000 0.999914550781   14999986       11702.86
       1.000 0.999926757813   14999986       13653.33
       1.000 0.999938964844   14999986       16384.00
       1.000 0.999945068359   14999986       18204.44
       1.000 0.999951171875   14999986       20480.00
       1.000 0.999957275391   14999986       23405.71
       1.000 0.999963378906   14999986       27306.67
       1.000 0.999969482422   14999986       32768.00
       1.000 0.999972534180   14999986       36408.89
       1.000 0.999975585938   14999986       40960.00
       1.000 0.999978637695   14999986       46811.43
       1.000 0.999981689453   14999986       54613.33
       1.000 0.999984741211   14999986       65536.00
       1.000 0.999986267090   14999986       72817.78
       1.000 0.999987792969   14999986       81920.00
       1.000 0.999989318848   14999986       93622.86
       1.000 0.999990844727   14999986      109226.67
       1.000 0.999992370605   14999986      131072.00
       1.000 0.999993133545   14999986      145635.56
       1.000 0.999993896484   14999986      163840.00
       1.000 0.999994659424   14999986      187245.71
       1.000 0.999995422363   14999986      218453.33
       1.000 0.999996185303   14999986      262144.00
       1.000 0.999996566772   14999986      291271.11
       1.000 0.999996948242   14999986      327680.00
       1.000 0.999997329712   14999986      374491.43
       1.000 0.999997711182   14999986      436906.67
       1.000 0.999998092651   14999986      524288.00
       1.000 0.999998283386   14999986      582542.22
       1.000 0.999998474121   14999986      655360.00
       1.000 0.999998664856   14999986      748982.86
       1.000 0.999998855591   14999986      873813.33
       1.000 0.999999046326   14999986     1048576.00
       2.000 0.999999141693   15000000     1165084.44
       2.000 1.000000000000   15000000
#[Mean    =        0.255, StdDeviation   =        0.436]
#[Max     =        2.000, Total count    =     15000000]
#[Buckets =            4, SubBuckets     =         2048]
