       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   16206318           1.00
       0.000 0.100000000000   16206318           1.11
       0.000 0.200000000000   16206318           1.25
       0.000 0.300000000000   16206318           1.43
       0.000 0.400000000000   16206318           1.67
       0.000 0.500000000000   16206318           2.00
       1.000 0.550000000000   19654942           2.22
       1.000 0.600000000000   19654942           2.50
       1.000 0.650000000000   19654942           2.86
       2.000 0.700000000000   21370538           3.33
       3.000 0.750000000000   22784184           4.00
       4.000 0.775000000000   23871561           4.44
       5.000 0.800000000000   24573775           5.00
       6.000 0.825000000000   25067552           5.71
       8.000 0.850000000000   25719241           6.67
      12.000 0.875000000000   26366414           8.00
      15.000 0.887500000000   26671083           8.89
      20.000 0.900000000000   27073943          10.00
      25.000 0.912500000000   27413196          11.43
      31.000 0.925000000000   27765939          13.33
      39.000 0.937500000000   28163831          16.00
      43.000 0.943750000000   28337477          17.78
      48.000 0.950000000000   28534180          20.00
      53.000 0.956250000000   28711050          22.86
      59.000 0.962500000000   28896531          26.67
      66.000 0.968750000000   29082915          32.00
      70.000 0.971875000000   29177993          35.56
      74.000 0.975000000000   29263639          40.00
      79.000 0.978125000000   29360798          45.71
      84.000 0.981250000000   29450569          53.33
      89.000 0.984375000000   29532121          64.00
      93.000 0.985937500000   29587567          71.11
      97.000 0.987500000000   29635831          80.00
     101.000 0.989062500000   29681576          91.43
     105.000 0.990625000000   29722155         106.67
     111.000 0.992187500000   29772438         128.00
     114.000 0.992968750000   29794022         142.22
     117.000 0.993750000000   29814382         160.00
     121.000 0.994531250000   29838653         182.86
     125.000 0.995312500000   29859521         213.33
     131.000 0.996093750000   29885380         256.00
     134.000 0.996484375000   29896437         284.44
     137.000 0.996875000000   29906437         320.00
     141.000 0.997265625000   29918020         365.71
     146.000 0.997656250000   29930536         426.67
     152.000 0.998046875000   29943217         512.00
     155.000 0.998242187500   29948454         568.89
     158.000 0.998437500000   29953463         640.00
     162.000 0.998632812500   29959189         731.43
     167.000 0.998828125000   29965308         853.33
     173.000 0.999023437500   29971659        1024.00
     176.000 0.999121093750   29974483        1137.78
     179.000 0.999218750000   29976963        1280.00
     183.000 0.999316406250   29980041        1462.86
     187.000 0.999414062500   29982701        1706.67
     192.000 0.999511718750   29985588        2048.00
     195.000 0.999560546875   29987099        2275.56
     198.000 0.999609375000   29988467        2560.00
     202.000 0.999658203125   29989978        2925.71
     206.000 0.999707031250   29991374        3413.33
     211.000 0.999755859375   29992885        4096.00
     213.000 0.999780273438   29993413        4551.11
     217.000 0.999804687500   29994284        5120.00
     220.000 0.999829101563   29994892        5851.43
     224.000 0.999853515625   29995676        6826.67
     229.000 0.999877929688   29996419        8192.00
     232.000 0.999890136719   29996791        9102.22
     235.000 0.999902343750   29997129       10240.00
     239.000 0.999914550781   29997476       11702.86
     244.000 0.999926757813   29997870       13653.33
     249.000 0.999938964844   29998205       16384.00
     252.000 0.999945068359   29998384       18204.44
     256.000 0.999951171875   29998575       20480.00
     260.000 0.999957275391   29998736       23405.71
     264.000 0.999963378906   29998923       27306.67
     268.000 0.999969482422   29999086       32768.00
     272.000 0.999972534180   29999211       36408.89
     275.000 0.999975585938   29999289       40960.00
     279.000 0.999978637695   29999375       46811.43
     283.000 0.999981689453   29999472       54613.33
     288.000 0.999984741211   29999558       65536.00
     290.000 0.999986267090   29999592       72817.78
     294.000 0.999987792969   29999645       81920.00
     297.000 0.999989318848   29999688       93622.86
     301.000 0.999990844727   29999729      109226.67
     308.000 0.999992370605   29999778      131072.00
     311.000 0.999993133545   29999795      145635.56
     315.000 0.999993896484   29999819      163840.00
     319.000 0.999994659424   29999840      187245.71
     324.000 0.999995422363   29999867      218453.33
     329.000 0.999996185303   29999887      262144.00
     332.000 0.999996566772   29999899      291271.11
     337.000 0.999996948242   29999909      327680.00
     344.000 0.999997329712   29999921      374491.43
     348.000 0.999997711182   29999932      436906.67
     356.000 0.999998092651   29999945      524288.00
     358.000 0.999998283386   29999952      582542.22
     362.000 0.999998474121   29999956      655360.00
     366.000 0.999998664856   29999960      748982.86
     372.000 0.999998855591   29999966      873813.33
     379.000 0.999999046326   29999974     1048576.00
     381.000 0.999999141693   29999975     1165084.44
     383.000 0.999999237061   29999978     1310720.00
     385.000 0.999999332428   29999980     1497965.71
     394.000 0.999999427795   29999983     1747626.67
     398.000 0.999999523163   29999987     2097152.00
     399.000 0.999999570847   29999989     2330168.89
     399.000 0.999999618530   29999989     2621440.00
     401.000 0.999999666214   29999991     2995931.43
     406.000 0.999999713898   29999992     3495253.33
     407.000 0.999999761581   29999993     4194304.00
     413.000 0.999999785423   29999994     4660337.78
     414.000 0.999999809265   29999995     5242880.00
     414.000 0.999999833107   29999995     5991862.86
     418.000 0.999999856949   29999996     6990506.67
     419.000 0.999999880791   29999997     8388608.00
     419.000 0.999999892712   29999997     9320675.55
     426.000 0.999999904633   29999998    10485760.00
     426.000 0.999999916553   29999998    11983725.71
     426.000 0.999999928474   29999998    13981013.34
     438.000 0.999999940395   29999999    16777216.00
     438.000 0.999999946356   29999999    18641351.10
     438.000 0.999999952316   29999999    20971519.98
     438.000 0.999999958277   29999999    23967451.45
     438.000 0.999999964237   29999999    27962026.68
     446.000 0.999999970198   30000000    33554432.00
     446.000 1.000000000000   30000000
#[Mean    =        7.160, StdDeviation   =       20.066]
#[Max     =      446.000, Total count    =     30000000]
#[Buckets =            4, SubBuckets     =         2048]
