       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   22631607           1.00
       0.000 0.100000000000   22631607           1.11
       0.000 0.200000000000   22631607           1.25
       0.000 0.300000000000   22631607           1.43
       0.000 0.400000000000   22631607           1.67
       0.000 0.500000000000   22631607           2.00
       0.000 0.550000000000   22631607           2.22
       0.000 0.600000000000   22631607           2.50
       0.000 0.650000000000   22631607           2.86
       0.000 0.700000000000   22631607           3.33
       0.000 0.750000000000   22631607           4.00
       1.000 0.775000000000   26355807           4.44
       1.000 0.800000000000   26355807           5.00
       1.000 0.825000000000   26355807           5.71
       1.000 0.850000000000   26355807           6.67
       1.000 0.875000000000   26355807           8.00
       2.000 0.887500000000   27511809           8.89
       2.000 0.900000000000   27511809          10.00
       2.000 0.912500000000   27511809          11.43
       3.000 0.925000000000   28418556          13.33
       3.000 0.937500000000   28418556          16.00
       3.000 0.943750000000   28418556          17.78
       4.000 0.950000000000   29033208          20.00
       4.000 0.956250000000   29033208          22.86
       4.000 0.962500000000   29033208          26.67
       5.000 0.968750000000   29361974          32.00
       5.000 0.971875000000   29361974          35.56
       5.000 0.975000000000   29361974          40.00
       5.000 0.978125000000   29361974          45.71
       6.000 0.981250000000   29551874          53.33
       6.000 0.984375000000   29551874          64.00
       7.000 0.985937500000   29662583          71.11
       7.000 0.987500000000   29662583          80.00
       8.000 0.989062500000   29727841          91.43
       8.000 0.990625000000   29727841         106.67
       9.000 0.992187500000   29771067         128.00
      10.000 0.992968750000   29799851         142.22
      11.000 0.993750000000   29818982         160.00
      13.000 0.994531250000   29845896         182.86
      15.000 0.995312500000   29864982         213.33
      18.000 0.996093750000   29884720         256.00
      21.000 0.996484375000   29897578         284.44
      24.000 0.996875000000   29907063         320.00
      28.000 0.997265625000   29918953         365.71
      32.000 0.997656250000   29929993         426.67
      37.000 0.998046875000   29941417         512.00
      41.000 0.998242187500   29947551         568.89
      47.000 0.998437500000   29953986         640.00
      52.000 0.998632812500   29959922         731.43
      57.000 0.998828125000   29965573         853.33
      63.000 0.999023437500   29971618        1024.00
      65.000 0.999121093750   29973775        1137.78
      69.000 0.999218750000   29977464        1280.00
      72.000 0.999316406250   29980114        1462.86
      75.000 0.999414062500   29982607        1706.67
      79.000 0.999511718750   29985507        2048.00
      81.000 0.999560546875   29987026        2275.56
      84.000 0.999609375000   29988869        2560.00
      86.000 0.999658203125   29989988        2925.71
      89.000 0.999707031250   29991559        3413.33
      92.000 0.999755859375   29992882        4096.00
      94.000 0.999780273438   29993764        4551.11
      95.000 0.999804687500   29994156        5120.00
      97.000 0.999829101563   29994893        5851.43
     100.000 0.999853515625   29995900        6826.67
     103.000 0.999877929688   29996537        8192.00
     104.000 0.999890136719   29996843        9102.22
     105.000 0.999902343750   29997082       10240.00
     108.000 0.999914550781   29997627       11702.86
     109.000 0.999926757813   29997855       13653.33
     112.000 0.999938964844   29998343       16384.00
     113.000 0.999945068359   29998485       18204.44
     114.000 0.999951171875   29998578       20480.00
     116.000 0.999957275391   29998824       23405.71
     117.000 0.999963378906   29998985       27306.67
     119.000 0.999969482422   29999105       32768.00
     120.000 0.999972534180   29999201       36408.89
     121.000 0.999975585938   29999289       40960.00
     123.000 0.999978637695   29999369       46811.43
     126.000 0.999981689453   29999468       54613.33
     129.000 0.999984741211   29999560       65536.00
     131.000 0.999986267090   29999598       72817.78
     133.000 0.999987792969   29999643       81920.00
     135.000 0.999989318848   29999722       93622.86
     136.000 0.999990844727   29999737      109226.67
     138.000 0.999992370605   29999782      131072.00
     139.000 0.999993133545   29999803      145635.56
     140.000 0.999993896484   29999823      163840.00
     141.000 0.999994659424   29999841      187245.71
     144.000 0.999995422363   29999876      218453.33
     145.000 0.999996185303   29999887      262144.00
     147.000 0.999996566772   29999905      291271.11
     148.000 0.999996948242   29999909      327680.00
     149.000 0.999997329712   29999932      374491.43
     149.000 0.999997711182   29999932      436906.67
     151.000 0.999998092651   29999947      524288.00
     152.000 0.999998283386   29999970      582542.22
     152.000 0.999998474121   29999970      655360.00
     152.000 0.999998664856   29999970      748982.86
     152.000 0.999998855591   29999970      873813.33
     153.000 0.999999046326   29999974     1048576.00
     154.000 0.999999141693   29999976     1165084.44
     156.000 0.999999237061   29999978     1310720.00
     157.000 0.999999332428   29999980     1497965.71
     168.000 0.999999427795   29999983     1747626.67
     211.000 0.999999523163   29999987     2097152.00
     212.000 0.999999570847   29999991     2330168.89
     212.000 0.999999618530   29999991     2621440.00
     212.000 0.999999666214   29999991     2995931.43
     213.000 0.999999713898   29999992     3495253.33
     215.000 0.999999761581   29999994     4194304.00
     215.000 0.999999785423   29999994     4660337.78
     216.000 0.999999809265   29999998     5242880.00
     216.000 0.999999833107   29999998     5991862.86
     216.000 0.999999856949   29999998     6990506.67
     216.000 0.999999880791   29999998     8388608.00
     216.000 0.999999892712   29999998     9320675.55
     216.000 0.999999904633   29999998    10485760.00
     216.000 0.999999916553   29999998    11983725.71
     216.000 0.999999928474   29999998    13981013.34
     219.000 0.999999940395   29999999    16777216.00
     219.000 0.999999946356   29999999    18641351.10
     219.000 0.999999952316   29999999    20971519.98
     219.000 0.999999958277   29999999    23967451.45
     219.000 0.999999964237   29999999    27962026.68
     221.000 0.999999970198   30000000    33554432.00
     221.000 1.000000000000   30000000
#[Mean    =        0.751, StdDeviation   =        3.566]
#[Max     =      221.000, Total count    =     30000000]
#[Buckets =            4, SubBuckets     =         2048]
