       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000    8058824           1.00
       0.000 0.100000000000    8058824           1.11
       0.000 0.200000000000    8058824           1.25
       0.000 0.300000000000    8058824           1.43
       0.000 0.400000000000    8058824           1.67
       0.000 0.500000000000    8058824           2.00
       0.000 0.550000000000    8058824           2.22
       0.000 0.600000000000    8058824           2.50
       0.000 0.650000000000    8058824           2.86
       0.000 0.700000000000    8058824           3.33
       0.000 0.750000000000    8058824           4.00
       0.000 0.775000000000    8058824           4.44
       0.000 0.800000000000    8058824           5.00
       0.000 0.825000000000    8058824           5.71
       0.000 0.850000000000    8058824           6.67
       0.000 0.875000000000    8058824           8.00
       1.000 0.887500000000    9179929           8.89
       1.000 0.900000000000    9179929          10.00
       1.000 0.912500000000    9179929          11.43
       1.000 0.925000000000    9179929          13.33
       1.000 0.937500000000    9179929          16.00
       1.000 0.943750000000    9179929          17.78
       1.000 0.950000000000    9179929          20.00
       1.000 0.956250000000    9179929          22.86
       1.000 0.962500000000    9179929          26.67
       1.000 0.968750000000    9179929          32.00
       1.000 0.971875000000    9179929          35.56
       1.000 0.975000000000    9179929          40.00
       1.000 0.978125000000    9179929          45.71
       1.000 0.981250000000    9179929          53.33
       1.000 0.984375000000    9179929          64.00
       1.000 0.985937500000    9179929          71.11
       1.000 0.987500000000    9179929          80.00
       1.000 0.989062500000    9179929          91.43
       1.000 0.990625000000    9179929         106.67
       1.000 0.992187500000    9179929         128.00
       1.000 0.992968750000    9179929         142.22
       1.000 0.993750000000    9179929         160.00
       1.000 0.994531250000    9179929         182.86
       1.000 0.995312500000    9179929         213.33
       1.000 0.996093750000    9179929         256.00
       1.000 0.996484375000    9179929         284.44
       1.000 0.996875000000    9179929         320.00
       1.000 0.997265625000    9179929         365.71
       1.000 0.997656250000    9179929         426.67
       1.000 0.998046875000    9179929         512.00
       1.000 0.998242187500    9179929         568.89
       1.000 0.998437500000    9179929         640.00
       1.000 0.998632812500    9179929         731.43
       1.000 0.998828125000    9179929         853.33
       1.000 0.999023437500    9179929        1024.00
       1.000 0.999121093750    9179929        1137.78
       1.000 0.999218750000    9179929        1280.00
       1.000 0.999316406250    9179929        1462.86
       1.000 0.999414062500    9179929        1706.67
       1.000 0.999511718750    9179929        2048.00
       1.000 0.999560546875    9179929        2275.56
       1.000 0.999609375000    9179929        2560.00
       1.000 0.999658203125    9179929        2925.71
       1.000 0.999707031250    9179929        3413.33
       1.000 0.999755859375    9179929        4096.00
       1.000 0.999780273438    9179929        4551.11
       1.000 0.999804687500    9179929        5120.00
       1.000 0.999829101563    9179929        5851.43
       1.000 0.999853515625    9179929        6826.67
       1.000 0.999877929688    9179929        8192.00
       1.000 0.999890136719    9179929        9102.22
       1.000 0.999902343750    9179929       10240.00
       1.000 0.999914550781    9179929       11702.86
       1.000 0.999926757813    9179929       13653.33
       1.000 0.999938964844    9179929       16384.00
       1.000 0.999945068359    9179929       18204.44
       1.000 0.999951171875    9179929       20480.00
       1.000 0.999957275391    9179929       23405.71
       1.000 0.999963378906    9179929       27306.67
       1.000 0.999969482422    9179929       32768.00
       1.000 0.999972534180    9179929       36408.89
       1.000 0.999975585938    9179929       40960.00
       1.000 0.999978637695    9179929       46811.43
       1.000 0.999981689453    9179929       54613.33
       1.000 0.999984741211    9179929       65536.00
       1.000 0.999986267090    9179929       72817.78
       1.000 0.999987792969    9179929       81920.00
       1.000 0.999989318848    9179929       93622.86
       1.000 0.999990844727    9179929      109226.67
       2.000 0.999992370605    9179931      131072.00
       3.000 0.999993133545    9179940      145635.56
       4.000 0.999993896484    9180000      163840.00
       4.000 1.000000000000    9180000
#[Mean    =        0.122, StdDeviation   =        0.328]
#[Max     =        4.000, Total count    =      9180000]
#[Buckets =            4, SubBuckets     =         2048]
