       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000    4463029           1.00
       0.000 0.100000000000    4463029           1.11
       0.000 0.200000000000    4463029           1.25
       0.000 0.300000000000    4463029           1.43
       0.000 0.400000000000    4463029           1.67
       0.000 0.500000000000    4463029           2.00
       0.000 0.550000000000    4463029           2.22
       0.000 0.600000000000    4463029           2.50
       0.000 0.650000000000    4463029           2.86
       0.000 0.700000000000    4463029           3.33
       0.000 0.750000000000    4463029           4.00
       0.000 0.775000000000    4463029           4.44
       0.000 0.800000000000    4463029           5.00
       0.000 0.825000000000    4463029           5.71
       0.000 0.850000000000    4463029           6.67
       0.000 0.875000000000    4463029           8.00
       0.000 0.887500000000    4463029           8.89
       1.000 0.900000000000    4980000          10.00
       1.000 1.000000000000    4980000
#[Mean    =        0.104, StdDeviation   =        0.305]
#[Max     =        1.000, Total count    =      4980000]
#[Buckets =            4, SubBuckets     =         2048]
