       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   23339549           1.00
       0.000 0.100000000000   23339549           1.11
       0.000 0.200000000000   23339549           1.25
       0.000 0.300000000000   23339549           1.43
       0.000 0.400000000000   23339549           1.67
       0.000 0.500000000000   23339549           2.00
       0.000 0.550000000000   23339549           2.22
       0.000 0.600000000000   23339549           2.50
       0.000 0.650000000000   23339549           2.86
       0.000 0.700000000000   23339549           3.33
       0.000 0.750000000000   23339549           4.00
       0.000 0.775000000000   23339549           4.44
       0.000 0.800000000000   23339549           5.00
       0.000 0.825000000000   23339549           5.71
       0.000 0.850000000000   23339549           6.67
       0.000 0.875000000000   23339549           8.00
       0.000 0.887500000000   23339549           8.89
       1.000 0.900000000000   25897314          10.00
       1.000 0.912500000000   25897314          11.43
       1.000 0.925000000000   25897314          13.33
       1.000 0.937500000000   25897314          16.00
       1.000 0.943750000000   25897314          17.78
       1.000 0.950000000000   25897314          20.00
       1.000 0.956250000000   25897314          22.86
       1.000 0.962500000000   25897314          26.67
       1.000 0.968750000000   25897314          32.00
       1.000 0.971875000000   25897314          35.56
       1.000 0.975000000000   25897314          40.00
       1.000 0.978125000000   25897314          45.71
       1.000 0.981250000000   25897314          53.33
       1.000 0.984375000000   25897314          64.00
       2.000 0.985937500000   26048752          71.11
       2.000 0.987500000000   26048752          80.00
       2.000 0.989062500000   26048752          91.43
       2.000 0.990625000000   26048752         106.67
       3.000 0.992187500000   26194046         128.00
       3.000 0.992968750000   26194046         142.22
       3.000 0.993750000000   26194046         160.00
       3.000 0.994531250000   26194046         182.86
       3.000 0.995312500000   26194046         213.33
       3.000 0.996093750000   26194046         256.00
       3.000 0.996484375000   26194046         284.44
       4.000 0.996875000000   26268993         320.00
       4.000 0.997265625000   26268993         365.71
       4.000 0.997656250000   26268993         426.67
       4.000 0.998046875000   26268993         512.00
       4.000 0.998242187500   26268993         568.89
       4.000 0.998437500000   26268993         640.00
       4.000 0.998632812500   26268993         731.43
       4.000 0.998828125000   26268993         853.33
       4.000 0.999023437500   26268993        1024.00
       4.000 0.999121093750   26268993        1137.78
       4.000 0.999218750000   26268993        1280.00
       4.000 0.999316406250   26268993        1462.86
       4.000 0.999414062500   26268993        1706.67
       4.000 0.999511718750   26268993        2048.00
       4.000 0.999560546875   26268993        2275.56
       5.000 0.999609375000   26279336        2560.00
       5.000 0.999658203125   26279336        2925.71
       5.000 0.999707031250   26279336        3413.33
       5.000 0.999755859375   26279336        4096.00
       5.000 0.999780273438   26279336        4551.11
       5.000 0.999804687500   26279336        5120.00
       5.000 0.999829101563   26279336        5851.43
       5.000 0.999853515625   26279336        6826.67
       5.000 0.999877929688   26279336        8192.00
       5.000 0.999890136719   26279336        9102.22
       5.000 0.999902343750   26279336       10240.00
       5.000 0.999914550781   26279336       11702.86
       5.000 0.999926757813   26279336       13653.33
       5.000 0.999938964844   26279336       16384.00
       5.000 0.999945068359   26279336       18204.44
       5.000 0.999951171875   26279336       20480.00
       5.000 0.999957275391   26279336       23405.71
       5.000 0.999963378906   26279336       27306.67
       5.000 0.999969482422   26279336       32768.00
       5.000 0.999972534180   26279336       36408.89
       6.000 0.999975585938   26279808       40960.00
       6.000 0.999978637695   26279808       46811.43
       6.000 0.999981689453   26279808       54613.33
       6.000 0.999984741211   26279808       65536.00
       6.000 0.999986267090   26279808       72817.78
       6.000 0.999987792969   26279808       81920.00
       6.000 0.999989318848   26279808       93622.86
       6.000 0.999990844727   26279808      109226.67
       6.000 0.999992370605   26279808      131072.00
       7.000 0.999993133545   26279938      145635.56
       7.000 0.999993896484   26279938      163840.00
       7.000 0.999994659424   26279938      187245.71
       7.000 0.999995422363   26279938      218453.33
       7.000 0.999996185303   26279938      262144.00
       7.000 0.999996566772   26279938      291271.11
       7.000 0.999996948242   26279938      327680.00
       7.000 0.999997329712   26279938      374491.43
       8.000 0.999997711182   26279984      436906.67
       8.000 0.999998092651   26279984      524288.00
       8.000 0.999998283386   26279984      582542.22
       8.000 0.999998474121   26279984      655360.00
       8.000 0.999998664856   26279984      748982.86
       8.000 0.999998855591   26279984      873813.33
       8.000 0.999999046326   26279984     1048576.00
       8.000 0.999999141693   26279984     1165084.44
       8.000 0.999999237061   26279984     1310720.00
       8.000 0.999999332428   26279984     1497965.71
       9.000 0.999999427795   26279998     1747626.67
       9.000 0.999999523163   26279998     2097152.00
       9.000 0.999999570847   26279998     2330168.89
       9.000 0.999999618530   26279998     2621440.00
       9.000 0.999999666214   26279998     2995931.43
       9.000 0.999999713898   26279998     3495253.33
       9.000 0.999999761581   26279998     4194304.00
       9.000 0.999999785423   26279998     4660337.78
       9.000 0.999999809265   26279998     5242880.00
       9.000 0.999999833107   26279998     5991862.86
       9.000 0.999999856949   26279998     6990506.67
       9.000 0.999999880791   26279998     8388608.00
       9.000 0.999999892712   26279998     9320675.55
       9.000 0.999999904633   26279998    10485760.00
       9.000 0.999999916553   26279998    11983725.71
      10.000 0.999999928474   26280000    13981013.34
      10.000 1.000000000000   26280000
#[Mean    =        0.139, StdDeviation   =        0.455]
#[Max     =       10.000, Total count    =     26280000]
#[Buckets =            4, SubBuckets     =         2048]
