       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   21895080           1.00
       0.000 0.100000000000   21895080           1.11
       0.000 0.200000000000   21895080           1.25
       0.000 0.300000000000   21895080           1.43
       0.000 0.400000000000   21895080           1.67
       0.000 0.500000000000   21895080           2.00
       0.000 0.550000000000   21895080           2.22
       0.000 0.600000000000   21895080           2.50
       0.000 0.650000000000   21895080           2.86
       0.000 0.700000000000   21895080           3.33
       1.000 0.750000000000   27141941           4.00
       1.000 0.775000000000   27141941           4.44
       1.000 0.800000000000   27141941           5.00
       1.000 0.825000000000   27141941           5.71
       1.000 0.850000000000   27141941           6.67
       1.000 0.875000000000   27141941           8.00
       1.000 0.887500000000   27141941           8.89
       1.000 0.900000000000   27141941          10.00
       2.000 0.912500000000   28058711          11.43
       2.000 0.925000000000   28058711          13.33
       3.000 0.937500000000   28788130          16.00
       3.000 0.943750000000   28788130          17.78
       3.000 0.950000000000   28788130          20.00
       3.000 0.956250000000   28788130          22.86
       4.000 0.962500000000   29307703          26.67
       4.000 0.968750000000   29307703          32.00
       4.000 0.971875000000   29307703          35.56
       4.000 0.975000000000   29307703          40.00
       5.000 0.978125000000   29568756          45.71
       5.000 0.981250000000   29568756          53.33
       5.000 0.984375000000   29568756          64.00
       6.000 0.985937500000   29710184          71.11
       6.000 0.987500000000   29710184          80.00
       6.000 0.989062500000   29710184          91.43
       7.000 0.990625000000   29790647         106.67
       7.000 0.992187500000   29790647         128.00
       7.000 0.992968750000   29790647         142.22
       8.000 0.993750000000   29835982         160.00
       8.000 0.994531250000   29835982         182.86
       9.000 0.995312500000   29861858         213.33
      11.000 0.996093750000   29888074         256.00
      12.000 0.996484375000   29895358         284.44
      15.000 0.996875000000   29909260         320.00
      18.000 0.997265625000   29918723         365.71
      23.000 0.997656250000   29930869         426.67
      30.000 0.998046875000   29942573         512.00
      34.000 0.998242187500   29948266         568.89
      38.000 0.998437500000   29953479         640.00
      43.000 0.998632812500   29959534         731.43
      47.000 0.998828125000   29964861         853.33
      52.000 0.999023437500   29971399        1024.00
      54.000 0.999121093750   29973854        1137.78
      57.000 0.999218750000   29977453        1280.00
      59.000 0.999316406250   29979532        1462.86
      62.000 0.999414062500   29982622        1706.67
      65.000 0.999511718750   29985385        2048.00
      67.000 0.999560546875   29986876        2275.56
      69.000 0.999609375000   29988461        2560.00
      72.000 0.999658203125   29990505        2925.71
      74.000 0.999707031250   29991588        3413.33
      76.000 0.999755859375   29992709        4096.00
      78.000 0.999780273438   29993669        4551.11
      80.000 0.999804687500   29994632        5120.00
      81.000 0.999829101563   29994949        5851.43
      84.000 0.999853515625   29995870        6826.67
      86.000 0.999877929688   29996366        8192.00
      88.000 0.999890136719   29996919        9102.22
      89.000 0.999902343750   29997190       10240.00
      91.000 0.999914550781   29997553       11702.86
      92.000 0.999926757813   29997816       13653.33
      94.000 0.999938964844   29998217       16384.00
      95.000 0.999945068359   29998386       18204.44
      96.000 0.999951171875   29998568       20480.00
      98.000 0.999957275391   29998784       23405.71
     100.000 0.999963378906   29999010       27306.67
     101.000 0.999969482422   29999142       32768.00
     103.000 0.999972534180   29999248       36408.89
     104.000 0.999975585938   29999332       40960.00
     105.000 0.999978637695   29999391       46811.43
     107.000 0.999981689453   29999511       54613.33
     108.000 0.999984741211   29999556       65536.00
     109.000 0.999986267090   29999593       72817.78
     110.000 0.999987792969   29999645       81920.00
     112.000 0.999989318848   29999708       93622.86
     113.000 0.999990844727   29999729      109226.67
     116.000 0.999992370605   29999781      131072.00
     118.000 0.999993133545   29999799      145635.56
     119.000 0.999993896484   29999836      163840.00
     120.000 0.999994659424   29999843      187245.71
     122.000 0.999995422363   29999871      218453.33
     124.000 0.999996185303   29999908      262144.00
     124.000 0.999996566772   29999908      291271.11
     125.000 0.999996948242   29999924      327680.00
     125.000 0.999997329712   29999924      374491.43
     126.000 0.999997711182   29999939      436906.67
     128.000 0.999998092651   29999944      524288.00
     129.000 0.999998283386   29999951      582542.22
     130.000 0.999998474121   29999957      655360.00
     131.000 0.999998664856   29999966      748982.86
     131.000 0.999998855591   29999966      873813.33
     136.000 0.999999046326   29999977     1048576.00
     136.000 0.999999141693   29999977     1165084.44
     137.000 0.999999237061   29999981     1310720.00
     137.000 0.999999332428   29999981     1497965.71
     138.000 0.999999427795   29999983     1747626.67
     139.000 0.999999523163   29999992     2097152.00
     139.000 0.999999570847   29999992     2330168.89
     139.000 0.999999618530   29999992     2621440.00
     139.000 0.999999666214   29999992     2995931.43
     139.000 0.999999713898   29999992     3495253.33
     140.000 0.999999761581   29999995     4194304.00
     140.000 0.999999785423   29999995     4660337.78
     140.000 0.999999809265   29999995     5242880.00
     140.000 0.999999833107   29999995     5991862.86
     141.000 0.999999856949   29999998     6990506.67
     141.000 0.999999880791   29999998     8388608.00
     141.000 0.999999892712   29999998     9320675.55
     141.000 0.999999904633   29999998    10485760.00
     141.000 0.999999916553   29999998    11983725.71
     141.000 0.999999928474   29999998    13981013.34
     142.000 0.999999940395   29999999    16777216.00
     142.000 0.999999946356   29999999    18641351.10
     142.000 0.999999952316   29999999    20971519.98
     142.000 0.999999958277   29999999    23967451.45
     142.000 0.999999964237   29999999    27962026.68
     145.000 0.999999970198   30000000    33554432.00
     145.000 1.000000000000   30000000
#[Mean    =        0.637, StdDeviation   =        2.881]
#[Max     =      145.000, Total count    =     30000000]
#[Buckets =            4, SubBuckets     =         2048]
