       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   21485923           1.00
       0.000 0.100000000000   21485923           1.11
       0.000 0.200000000000   21485923           1.25
       0.000 0.300000000000   21485923           1.43
       0.000 0.400000000000   21485923           1.67
       0.000 0.500000000000   21485923           2.00
       0.000 0.550000000000   21485923           2.22
       0.000 0.600000000000   21485923           2.50
       0.000 0.650000000000   21485923           2.86
       0.000 0.700000000000   21485923           3.33
       1.000 0.750000000000   25192073           4.00
       1.000 0.775000000000   25192073           4.44
       1.000 0.800000000000   25192073           5.00
       1.000 0.825000000000   25192073           5.71
       2.000 0.850000000000   26356597           6.67
       2.000 0.875000000000   26356597           8.00
       3.000 0.887500000000   27306389           8.89
       3.000 0.900000000000   27306389          10.00
       4.000 0.912500000000   28009558          11.43
       4.000 0.925000000000   28009558          13.33
       5.000 0.937500000000   28415177          16.00
       5.000 0.943750000000   28415177          17.78
       6.000 0.950000000000   28661298          20.00
       7.000 0.956250000000   28827553          22.86
       8.000 0.962500000000   28945548          26.67
      10.000 0.968750000000   29077717          32.00
      13.000 0.971875000000   29182266          35.56
      16.000 0.975000000000   29252657          40.00
      21.000 0.978125000000   29349966          45.71
      27.000 0.981250000000   29450404          53.33
      33.000 0.984375000000   29544187          64.00
      36.000 0.985937500000   29585902          71.11
      39.000 0.987500000000   29626042          80.00
      43.000 0.989062500000   29676803          91.43
      47.000 0.990625000000   29722365         106.67
      52.000 0.992187500000   29773520         128.00
      54.000 0.992968750000   29791867         142.22
      57.000 0.993750000000   29816733         160.00
      60.000 0.994531250000   29840439         182.86
      63.000 0.995312500000   29861556         213.33
      67.000 0.996093750000   29886428         256.00
      69.000 0.996484375000   29897802         284.44
      71.000 0.996875000000   29907562         320.00
      74.000 0.997265625000   29921175         365.71
      76.000 0.997656250000   29930057         426.67
      80.000 0.998046875000   29944571         512.00
      81.000 0.998242187500   29947803         568.89
      83.000 0.998437500000   29953984         640.00
      85.000 0.998632812500   29960195         731.43
      87.000 0.998828125000   29965271         853.33
      90.000 0.999023437500   29972212        1024.00
      91.000 0.999121093750   29974090        1137.78
      93.000 0.999218750000   29977516        1280.00
      95.000 0.999316406250   29980435        1462.86
      97.000 0.999414062500   29983013        1706.67
      99.000 0.999511718750   29985486        2048.00
     101.000 0.999560546875   29987815        2275.56
     102.000 0.999609375000   29988849        2560.00
     103.000 0.999658203125   29989819        2925.71
     105.000 0.999707031250   29991416        3413.33
     107.000 0.999755859375   29992752        4096.00
     109.000 0.999780273438   29993968        4551.11
     110.000 0.999804687500   29994390        5120.00
     112.000 0.999829101563   29995223        5851.43
     114.000 0.999853515625   29995918        6826.67
     116.000 0.999877929688   29996544        8192.00
     117.000 0.999890136719   29996809        9102.22
     119.000 0.999902343750   29997242       10240.00
     120.000 0.999914550781   29997472       11702.86
     122.000 0.999926757813   29997869       13653.33
     125.000 0.999938964844   29998275       16384.00
     126.000 0.999945068359   29998385       18204.44
     128.000 0.999951171875   29998557       20480.00
     131.000 0.999957275391   29998786       23405.71
     133.000 0.999963378906   29998921       27306.67
     137.000 0.999969482422   29999147       32768.00
     138.000 0.999972534180   29999216       36408.89
     139.000 0.999975585938   29999299       40960.00
     140.000 0.999978637695   29999361       46811.43
     142.000 0.999981689453   29999515       54613.33
     143.000 0.999984741211   29999595       65536.00
     143.000 0.999986267090   29999595       72817.78
     145.000 0.999987792969   29999674       81920.00
     146.000 0.999989318848   29999704       93622.86
     148.000 0.999990844727   29999747      109226.67
     150.000 0.999992370605   29999772      131072.00
     154.000 0.999993133545   29999797      145635.56
     157.000 0.999993896484   29999824      163840.00
     159.000 0.999994659424   29999846      187245.71
     161.000 0.999995422363   29999870      218453.33
     168.000 0.999996185303   29999887      262144.00
     173.000 0.999996566772   29999899      291271.11
     176.000 0.999996948242   29999913      327680.00
     179.000 0.999997329712   29999922      374491.43
     183.000 0.999997711182   29999936      436906.67
     187.000 0.999998092651   29999943      524288.00
     190.000 0.999998283386   29999949      582542.22
     194.000 0.999998474121   29999955      655360.00
     198.000 0.999998664856   29999962      748982.86
     203.000 0.999998855591   29999967      873813.33
     216.000 0.999999046326   29999973     1048576.00
     218.000 0.999999141693   29999975     1165084.44
     223.000 0.999999237061   29999978     1310720.00
     231.000 0.999999332428   29999980     1497965.71
     233.000 0.999999427795   29999983     1747626.67
     243.000 0.999999523163   29999986     2097152.00
     246.000 0.999999570847   29999988     2330168.89
     252.000 0.999999618530   29999990     2621440.00
     252.000 0.999999666214   29999990     2995931.43
     268.000 0.999999713898   29999992     3495253.33
     269.000 0.999999761581   29999999     4194304.00
     269.000 0.999999785423   29999999     4660337.78
     269.000 0.999999809265   29999999     5242880.00
     269.000 0.999999833107   29999999     5991862.86
     269.000 0.999999856949   29999999     6990506.67
     269.000 0.999999880791   29999999     8388608.00
     269.000 0.999999892712   29999999     9320675.55
     269.000 0.999999904633   29999999    10485760.00
     269.000 0.999999916553   29999999    11983725.71
     269.000 0.999999928474   29999999    13981013.34
     269.000 0.999999940395   29999999    16777216.00
     269.000 0.999999946356   29999999    18641351.10
     269.000 0.999999952316   29999999    20971519.98
     269.000 0.999999958277   29999999    23967451.45
     269.000 0.999999964237   29999999    27962026.68
     270.000 0.999999970198   30000000    33554432.00
     270.000 1.000000000000   30000000
#[Mean    =        1.798, StdDeviation   =        7.806]
#[Max     =      270.000, Total count    =     30000000]
#[Buckets =            4, SubBuckets     =         2048]
