       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   22462562           1.00
       0.000 0.100000000000   22462562           1.11
       0.000 0.200000000000   22462562           1.25
       0.000 0.300000000000   22462562           1.43
       0.000 0.400000000000   22462562           1.67
       0.000 0.500000000000   22462562           2.00
       0.000 0.550000000000   22462562           2.22
       0.000 0.600000000000   22462562           2.50
       0.000 0.650000000000   22462562           2.86
       0.000 0.700000000000   22462562           3.33
       0.000 0.750000000000   22462562           4.00
       0.000 0.775000000000   22462562           4.44
       0.000 0.800000000000   22462562           5.00
       0.000 0.825000000000   22462562           5.71
       0.000 0.850000000000   22462562           6.67
       0.000 0.875000000000   22462562           8.00
       0.000 0.887500000000   22462562           8.89
       1.000 0.900000000000   24343134          10.00
       1.000 0.912500000000   24343134          11.43
       1.000 0.925000000000   24343134          13.33
       1.000 0.937500000000   24343134          16.00
       1.000 0.943750000000   24343134          17.78
       1.000 0.950000000000   24343134          20.00
       1.000 0.956250000000   24343134          22.86
       1.000 0.962500000000   24343134          26.67
       1.000 0.968750000000   24343134          32.00
       1.000 0.971875000000   24343134          35.56
       1.000 0.975000000000   24343134          40.00
       2.000 0.978125000000   24482834          45.71
       3.000 0.981250000000   24775016          53.33
       3.000 0.984375000000   24775016          64.00
       3.000 0.985937500000   24775016          71.11
       3.000 0.987500000000   24775016          80.00
       3.000 0.989062500000   24775016          91.43
       3.000 0.990625000000   24775016         106.67
       3.000 0.992187500000   24775016         128.00
       4.000 0.992968750000   24933624         142.22
       4.000 0.993750000000   24933624         160.00
       4.000 0.994531250000   24933624         182.86
       4.000 0.995312500000   24933624         213.33
       4.000 0.996093750000   24933624         256.00
       4.000 0.996484375000   24933624         284.44
       4.000 0.996875000000   24933624         320.00
       4.000 0.997265625000   24933624         365.71
       4.000 0.997656250000   24933624         426.67
       4.000 0.998046875000   24933624         512.00
       4.000 0.998242187500   24933624         568.89
       4.000 0.998437500000   24933624         640.00
       4.000 0.998632812500   24933624         731.43
       4.000 0.998828125000   24933624         853.33
       5.000 0.999023437500   24952630        1024.00
       5.000 0.999121093750   24952630        1137.78
       5.000 0.999218750000   24952630        1280.00
       5.000 0.999316406250   24952630        1462.86
       5.000 0.999414062500   24952630        1706.67
       5.000 0.999511718750   24952630        2048.00
       5.000 0.999560546875   24952630        2275.56
       5.000 0.999609375000   24952630        2560.00
       5.000 0.999658203125   24952630        2925.71
       6.000 0.999707031250   24955434        3413.33
       6.000 0.999755859375   24955434        4096.00
       6.000 0.999780273438   24955434        4551.11
       6.000 0.999804687500   24955434        5120.00
       7.000 0.999829101563   24956943        5851.43
       7.000 0.999853515625   24956943        6826.67
       8.000 0.999877929688   24957916        8192.00
       8.000 0.999890136719   24957916        9102.22
       8.000 0.999902343750   24957916       10240.00
       8.000 0.999914550781   24957916       11702.86
       9.000 0.999926757813   24958513       13653.33
       9.000 0.999938964844   24958513       16384.00
      10.000 0.999945068359   24959061       18204.44
      10.000 0.999951171875   24959061       20480.00
      10.000 0.999957275391   24959061       23405.71
      11.000 0.999963378906   24959582       27306.67
      11.000 0.999969482422   24959582       32768.00
      11.000 0.999972534180   24959582       36408.89
      11.000 0.999975585938   24959582       40960.00
      11.000 0.999978637695   24959582       46811.43
      11.000 0.999981689453   24959582       54613.33
      12.000 0.999984741211   24959817       65536.00
      12.000 0.999986267090   24959817       72817.78
      12.000 0.999987792969   24959817       81920.00
      12.000 0.999989318848   24959817       93622.86
      12.000 0.999990844727   24959817      109226.67
      12.000 0.999992370605   24959817      131072.00
      13.000 0.999993133545   24959892      145635.56
      13.000 0.999993896484   24959892      163840.00
      13.000 0.999994659424   24959892      187245.71
      13.000 0.999995422363   24959892      218453.33
      14.000 0.999996185303   24959933      262144.00
      14.000 0.999996566772   24959933      291271.11
      14.000 0.999996948242   24959933      327680.00
      15.000 0.999997329712   24959962      374491.43
      15.000 0.999997711182   24959962      436906.67
      15.000 0.999998092651   24959962      524288.00
      15.000 0.999998283386   24959962      582542.22
      15.000 0.999998474121   24959962      655360.00
      16.000 0.999998664856   24959976      748982.86
      16.000 0.999998855591   24959976      873813.33
      17.000 0.999999046326   24959987     1048576.00
      17.000 0.999999141693   24959987     1165084.44
      17.000 0.999999237061   24959987     1310720.00
      17.000 0.999999332428   24959987     1497965.71
      17.000 0.999999427795   24959987     1747626.67
      18.000 0.999999523163   24959997     2097152.00
      18.000 0.999999570847   24959997     2330168.89
      18.000 0.999999618530   24959997     2621440.00
      18.000 0.999999666214   24959997     2995931.43
      18.000 0.999999713898   24959997     3495253.33
      18.000 0.999999761581   24959997     4194304.00
      18.000 0.999999785423   24959997     4660337.78
      18.000 0.999999809265   24959997     5242880.00
      18.000 0.999999833107   24959997     5991862.86
      18.000 0.999999856949   24959997     6990506.67
      19.000 0.999999880791   24960000     8388608.00
      19.000 1.000000000000   24960000
#[Mean    =        0.153, StdDeviation   =        0.565]
#[Max     =       19.000, Total count    =     24960000]
#[Buckets =            4, SubBuckets     =         2048]
