       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000    6689275           1.00
       0.000 0.100000000000    6689275           1.11
       0.000 0.200000000000    6689275           1.25
       0.000 0.300000000000    6689275           1.43
       0.000 0.400000000000    6689275           1.67
       0.000 0.500000000000    6689275           2.00
       0.000 0.550000000000    6689275           2.22
       0.000 0.600000000000    6689275           2.50
       0.000 0.650000000000    6689275           2.86
       0.000 0.700000000000    6689275           3.33
       0.000 0.750000000000    6689275           4.00
       0.000 0.775000000000    6689275           4.44
       0.000 0.800000000000    6689275           5.00
       0.000 0.825000000000    6689275           5.71
       0.000 0.850000000000    6689275           6.67
       0.000 0.875000000000    6689275           8.00
       0.000 0.887500000000    6689275           8.89
       0.000 0.900000000000    6689275          10.00
       0.000 0.912500000000    6689275          11.43
       0.000 0.925000000000    6689275          13.33
       0.000 0.937500000000    6689275          16.00
       0.000 0.943750000000    6689275          17.78
       1.000 0.950000000000    7080000          20.00
       1.000 1.000000000000    7080000
#[Mean    =        0.055, StdDeviation   =        0.228]
#[Max     =        1.000, Total count    =      7080000]
#[Buckets =            4, SubBuckets     =         2048]
