       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000    4603529           1.00
       0.000 0.100000000000    4603529           1.11
       0.000 0.200000000000    4603529           1.25
       0.000 0.300000000000    4603529           1.43
       0.000 0.400000000000    4603529           1.67
       0.000 0.500000000000    4603529           2.00
       0.000 0.550000000000    4603529           2.22
       0.000 0.600000000000    4603529           2.50
       0.000 0.650000000000    4603529           2.86
       0.000 0.700000000000    4603529           3.33
       0.000 0.750000000000    4603529           4.00
       0.000 0.775000000000    4603529           4.44
       0.000 0.800000000000    4603529           5.00
       0.000 0.825000000000    4603529           5.71
       0.000 0.850000000000    4603529           6.67
       0.000 0.875000000000    4603529           8.00
       0.000 0.887500000000    4603529           8.89
       0.000 0.900000000000    4603529          10.00
       0.000 0.912500000000    4603529          11.43
       1.000 0.925000000000    4979996          13.33
       1.000 0.937500000000    4979996          16.00
       1.000 0.943750000000    4979996          17.78
       1.000 0.950000000000    4979996          20.00
       1.000 0.956250000000    4979996          22.86
       1.000 0.962500000000    4979996          26.67
       1.000 0.968750000000    4979996          32.00
       1.000 0.971875000000    4979996          35.56
       1.000 0.975000000000    4979996          40.00
       1.000 0.978125000000    4979996          45.71
       1.000 0.981250000000    4979996          53.33
       1.000 0.984375000000    4979996          64.00
       1.000 0.985937500000    4979996          71.11
       1.000 0.987500000000    4979996          80.00
       1.000 0.989062500000    4979996          91.43
       1.000 0.990625000000    4979996         106.67
       1.000 0.992187500000    4979996         128.00
       1.000 0.992968750000    4979996         142.22
       1.000 0.993750000000    4979996         160.00
       1.000 0.994531250000    4979996         182.86
       1.000 0.995312500000    4979996         213.33
       1.000 0.996093750000    4979996         256.00
       1.000 0.996484375000    4979996         284.44
       1.000 0.996875000000    4979996         320.00
       1.000 0.997265625000    4979996         365.71
       1.000 0.997656250000    4979996         426.67
       1.000 0.998046875000    4979996         512.00
       1.000 0.998242187500    4979996         568.89
       1.000 0.998437500000    4979996         640.00
       1.000 0.998632812500    4979996         731.43
       1.000 0.998828125000    4979996         853.33
       1.000 0.999023437500    4979996        1024.00
       1.000 0.999121093750    4979996        1137.78
       1.000 0.999218750000    4979996        1280.00
       1.000 0.999316406250    4979996        1462.86
       1.000 0.999414062500    4979996        1706.67
       1.000 0.999511718750    4979996        2048.00
       1.000 0.999560546875    4979996        2275.56
       1.000 0.999609375000    4979996        2560.00
       1.000 0.999658203125    4979996        2925.71
       1.000 0.999707031250    4979996        3413.33
       1.000 0.999755859375    4979996        4096.00
       1.000 0.999780273438    4979996        4551.11
       1.000 0.999804687500    4979996        5120.00
       1.000 0.999829101563    4979996        5851.43
       1.000 0.999853515625    4979996        6826.67
       1.000 0.999877929688    4979996        8192.00
       1.000 0.999890136719    4979996        9102.22
       1.000 0.999902343750    4979996       10240.00
       1.000 0.999914550781    4979996       11702.86
       1.000 0.999926757813    4979996       13653.33
       1.000 0.999938964844    4979996       16384.00
       1.000 0.999945068359    4979996       18204.44
       1.000 0.999951171875    4979996       20480.00
       1.000 0.999957275391    4979996       23405.71
       1.000 0.999963378906    4979996       27306.67
       1.000 0.999969482422    4979996       32768.00
       1.000 0.999972534180    4979996       36408.89
       1.000 0.999975585938    4979996       40960.00
       1.000 0.999978637695    4979996       46811.43
       1.000 0.999981689453    4979996       54613.33
       1.000 0.999984741211    4979996       65536.00
       1.000 0.999986267090    4979996       72817.78
       1.000 0.999987792969    4979996       81920.00
       1.000 0.999989318848    4979996       93622.86
       1.000 0.999990844727    4979996      109226.67
       1.000 0.999992370605    4979996      131072.00
       1.000 0.999993133545    4979996      145635.56
       1.000 0.999993896484    4979996      163840.00
       1.000 0.999994659424    4979996      187245.71
       1.000 0.999995422363    4979996      218453.33
       1.000 0.999996185303    4979996      262144.00
       1.000 0.999996566772    4979996      291271.11
       1.000 0.999996948242    4979996      327680.00
       1.000 0.999997329712    4979996      374491.43
       1.000 0.999997711182    4979996      436906.67
       1.000 0.999998092651    4979996      524288.00
       1.000 0.999998283386    4979996      582542.22
       1.000 0.999998474121    4979996      655360.00
       1.000 0.999998664856    4979996      748982.86
       1.000 0.999998855591    4979996      873813.33
       1.000 0.999999046326    4979996     1048576.00
       1.000 0.999999141693    4979996     1165084.44
       2.000 0.999999237061    4980000     1310720.00
       2.000 1.000000000000    4980000
#[Mean    =        0.076, StdDeviation   =        0.264]
#[Max     =        2.000, Total count    =      4980000]
#[Buckets =            4, SubBuckets     =         2048]
