       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000    6239239           1.00
       0.000 0.100000000000    6239239           1.11
       0.000 0.200000000000    6239239           1.25
       0.000 0.300000000000    6239239           1.43
       0.000 0.400000000000    6239239           1.67
       0.000 0.500000000000    6239239           2.00
       0.000 0.550000000000    6239239           2.22
       0.000 0.600000000000    6239239           2.50
       0.000 0.650000000000    6239239           2.86
       0.000 0.700000000000    6239239           3.33
       0.000 0.750000000000    6239239           4.00
       0.000 0.775000000000    6239239           4.44
       0.000 0.800000000000    6239239           5.00
       0.000 0.825000000000    6239239           5.71
       0.000 0.850000000000    6239239           6.67
       0.000 0.875000000000    6239239           8.00
       0.000 0.887500000000    6239239           8.89
       0.000 0.900000000000    6239239          10.00
       0.000 0.912500000000    6239239          11.43
       0.000 0.925000000000    6239239          13.33
       0.000 0.937500000000    6239239          16.00
       0.000 0.943750000000    6239239          17.78
       1.000 0.950000000000    6594492          20.00
       1.000 0.956250000000    6594492          22.86
       1.000 0.962500000000    6594492          26.67
       1.000 0.968750000000    6594492          32.00
       1.000 0.971875000000    6594492          35.56
       1.000 0.975000000000    6594492          40.00
       1.000 0.978125000000    6594492          45.71
       1.000 0.981250000000    6594492          53.33
       1.000 0.984375000000    6594492          64.00
       1.000 0.985937500000    6594492          71.11
       1.000 0.987500000000    6594492          80.00
       1.000 0.989062500000    6594492          91.43
       1.000 0.990625000000    6594492         106.67
       1.000 0.992187500000    6594492         128.00
       1.000 0.992968750000    6594492         142.22
       1.000 0.993750000000    6594492         160.00
       1.000 0.994531250000    6594492         182.86
       1.000 0.995312500000    6594492         213.33
       1.000 0.996093750000    6594492         256.00
       1.000 0.996484375000    6594492         284.44
       1.000 0.996875000000    6594492         320.00
       1.000 0.997265625000    6594492         365.71
       1.000 0.997656250000    6594492         426.67
       1.000 0.998046875000    6594492         512.00
       1.000 0.998242187500    6594492         568.89
       1.000 0.998437500000    6594492         640.00
       1.000 0.998632812500    6594492         731.43
       1.000 0.998828125000    6594492         853.33
       1.000 0.999023437500    6594492        1024.00
       1.000 0.999121093750    6594492        1137.78
       2.000 0.999218750000    6597171        1280.00
       2.000 0.999316406250    6597171        1462.86
       2.000 0.999414062500    6597171        1706.67
       2.000 0.999511718750    6597171        2048.00
       2.000 0.999560546875    6597171        2275.56
       3.000 0.999609375000    6598347        2560.00
       3.000 0.999658203125    6598347        2925.71
       3.000 0.999707031250    6598347        3413.33
       4.000 0.999755859375    6598894        4096.00
       4.000 0.999780273438    6598894        4551.11
       4.000 0.999804687500    6598894        5120.00
       4.000 0.999829101563    6598894        5851.43
       5.000 0.999853515625    6599196        6826.67
       5.000 0.999877929688    6599196        8192.00
       6.000 0.999890136719    6599412        9102.22
       6.000 0.999902343750    6599412       10240.00
       7.000 0.999914550781    6599549       11702.86
       7.000 0.999926757813    6599549       13653.33
       8.000 0.999938964844    6599621       16384.00
       9.000 0.999945068359    6599683       18204.44
       9.000 0.999951171875    6599683       20480.00
      10.000 0.999957275391    6599752       23405.71
      11.000 0.999963378906    6599813       27306.67
      11.000 0.999969482422    6599813       32768.00
      12.000 0.999972534180    6599884       36408.89
      12.000 0.999975585938    6599884       40960.00
      12.000 0.999978637695    6599884       46811.43
      12.000 0.999981689453    6599884       54613.33
      13.000 0.999984741211    6599937       65536.00
      13.000 0.999986267090    6599937       72817.78
      13.000 0.999987792969    6599937       81920.00
      13.000 0.999989318848    6599937       93622.86
      14.000 0.999990844727    6599975      109226.67
      14.000 0.999992370605    6599975      131072.00
      14.000 0.999993133545    6599975      145635.56
      14.000 0.999993896484    6599975      163840.00
      14.000 0.999994659424    6599975      187245.71
      14.000 0.999995422363    6599975      218453.33
      14.000 0.999996185303    6599975      262144.00
      15.000 0.999996566772    6599981      291271.11
      15.000 0.999996948242    6599981      327680.00
      16.000 0.999997329712    6599989      374491.43
      16.000 0.999997711182    6599989      436906.67
      16.000 0.999998092651    6599989      524288.00
      16.000 0.999998283386    6599989      582542.22
      17.000 0.999998474121    6599997      655360.00
      17.000 0.999998664856    6599997      748982.86
      17.000 0.999998855591    6599997      873813.33
      17.000 0.999999046326    6599997     1048576.00
      17.000 0.999999141693    6599997     1165084.44
      17.000 0.999999237061    6599997     1310720.00
      17.000 0.999999332428    6599997     1497965.71
      17.000 0.999999427795    6599997     1747626.67
      17.000 0.999999523163    6599997     2097152.00
      18.000 0.999999570847    6599998     2330168.89
      18.000 0.999999618530    6599998     2621440.00
      18.000 0.999999666214    6599998     2995931.43
      21.000 0.999999713898    6600000     3495253.33
      21.000 1.000000000000    6600000
#[Mean    =        0.057, StdDeviation   =        0.259]
#[Max     =       21.000, Total count    =      6600000]
#[Buckets =            4, SubBuckets     =         2048]
