       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   12235017           1.00
       0.000 0.100000000000   12235017           1.11
       0.000 0.200000000000   12235017           1.25
       0.000 0.300000000000   12235017           1.43
       0.000 0.400000000000   12235017           1.67
       5.000 0.500000000000   15488650           2.00
       8.000 0.550000000000   16756703           2.22
      12.000 0.600000000000   18134148           2.50
      17.000 0.650000000000   19610061           2.86
      23.000 0.700000000000   21081560           3.33
      31.000 0.750000000000   22630244           4.00
      35.000 0.775000000000   23256643           4.44
      41.000 0.800000000000   24065223           5.00
      48.000 0.825000000000   24827453           5.71
      55.000 0.850000000000   25511277           6.67
      64.000 0.875000000000   26307979           8.00
      69.000 0.887500000000   26689600           8.89
      74.000 0.900000000000   27046108          10.00
      79.000 0.912500000000   27385566          11.43
      85.000 0.925000000000   27758736          13.33
      93.000 0.937500000000   28162888          16.00
      97.000 0.943750000000   28350047          17.78
     101.000 0.950000000000   28538901          20.00
     105.000 0.956250000000   28705618          22.86
     110.000 0.962500000000   28887737          26.67
     116.000 0.968750000000   29071872          32.00
     120.000 0.971875000000   29178766          35.56
     124.000 0.975000000000   29270706          40.00
     128.000 0.978125000000   29351298          45.71
     133.000 0.981250000000   29441897          53.33
     139.000 0.984375000000   29544356          64.00
     142.000 0.985937500000   29588869          71.11
     145.000 0.987500000000   29630174          80.00
     149.000 0.989062500000   29681649          91.43
     153.000 0.990625000000   29728841         106.67
     158.000 0.992187500000   29774080         128.00
     160.000 0.992968750000   29790130         142.22
     163.000 0.993750000000   29812825         160.00
     167.000 0.994531250000   29840592         182.86
     170.000 0.995312500000   29859591         213.33
     175.000 0.996093750000   29887702         256.00
     177.000 0.996484375000   29897436         284.44
     179.000 0.996875000000   29906368         320.00
     183.000 0.997265625000   29920986         365.71
     186.000 0.997656250000   29929735         426.67
     191.000 0.998046875000   29942171         512.00
     194.000 0.998242187500   29948947         568.89
     196.000 0.998437500000   29953154         640.00
     199.000 0.998632812500   29959272         731.43
     202.000 0.998828125000   29965042         853.33
     206.000 0.999023437500   29972225        1024.00
     207.000 0.999121093750   29973920        1137.78
     209.000 0.999218750000   29977091        1280.00
     211.000 0.999316406250   29979832        1462.86
     214.000 0.999414062500   29983211        1706.67
     217.000 0.999511718750   29985942        2048.00
     219.000 0.999560546875   29987431        2275.56
     221.000 0.999609375000   29988798        2560.00
     223.000 0.999658203125   29990010        2925.71
     226.000 0.999707031250   29991692        3413.33
     228.000 0.999755859375   29992696        4096.00
     230.000 0.999780273438   29993613        4551.11
     232.000 0.999804687500   29994481        5120.00
     234.000 0.999829101563   29995126        5851.43
     236.000 0.999853515625   29995740        6826.67
     239.000 0.999877929688   29996553        8192.00
     240.000 0.999890136719   29996764        9102.22
     242.000 0.999902343750   29997223       10240.00
     244.000 0.999914550781   29997606       11702.86
     246.000 0.999926757813   29997960       13653.33
     248.000 0.999938964844   29998248       16384.00
     249.000 0.999945068359   29998381       18204.44
     251.000 0.999951171875   29998628       20480.00
     252.000 0.999957275391   29998734       23405.71
     254.000 0.999963378906   29998929       27306.67
     257.000 0.999969482422   29999136       32768.00
     258.000 0.999972534180   29999200       36408.89
     260.000 0.999975585938   29999330       40960.00
     261.000 0.999978637695   29999394       46811.43
     263.000 0.999981689453   29999479       54613.33
     265.000 0.999984741211   29999553       65536.00
     267.000 0.999986267090   29999619       72817.78
     268.000 0.999987792969   29999657       81920.00
     269.000 0.999989318848   29999683       93622.86
     272.000 0.999990844727   29999739      109226.67
     274.000 0.999992370605   29999784      131072.00
     275.000 0.999993133545   29999807      145635.56
     276.000 0.999993896484   29999824      163840.00
     278.000 0.999994659424   29999852      187245.71
     279.000 0.999995422363   29999863      218453.33
     283.000 0.999996185303   29999888      262144.00
     285.000 0.999996566772   29999903      291271.11
     286.000 0.999996948242   29999911      327680.00
     288.000 0.999997329712   29999924      374491.43
     290.000 0.999997711182   29999932      436906.67
     292.000 0.999998092651   29999943      524288.00
     294.000 0.999998283386   29999951      582542.22
     296.000 0.999998474121   29999958      655360.00
     297.000 0.999998664856   29999963      748982.86
     298.000 0.999998855591   29999966      873813.33
     301.000 0.999999046326   29999972     1048576.00
     303.000 0.999999141693   29999975     1165084.44
     304.000 0.999999237061   29999979     1310720.00
     305.000 0.999999332428   29999981     1497965.71
     306.000 0.999999427795   29999985     1747626.67
     308.000 0.999999523163   29999986     2097152.00
     309.000 0.999999570847   29999989     2330168.89
     309.000 0.999999618530   29999989     2621440.00
     310.000 0.999999666214   29999990     2995931.43
     315.000 0.999999713898   29999992     3495253.33
     317.000 0.999999761581   29999993     4194304.00
     318.000 0.999999785423   29999994     4660337.78
     319.000 0.999999809265   29999996     5242880.00
     319.000 0.999999833107   29999996     5991862.86
     319.000 0.999999856949   29999996     6990506.67
     326.000 0.999999880791   29999997     8388608.00
     326.000 0.999999892712   29999997     9320675.55
     327.000 0.999999904633   29999998    10485760.00
     327.000 0.999999916553   29999998    11983725.71
     327.000 0.999999928474   29999998    13981013.34
     335.000 0.999999940395   30000000    16777216.00
     335.000 1.000000000000   30000000
#[Mean    =       22.323, StdDeviation   =       35.090]
#[Max     =      335.000, Total count    =     30000000]
#[Buckets =            4, SubBuckets     =         2048]
