      Value     Percentile TotalCount 1/(1-Percentile)
       1.000 0.000000000000    5361215           1.00
       1.000 0.100000000000    5361215           1.11
       1.000 0.200000000000    5361215           1.25
       1.000 0.300000000000    5361215           1.43
       1.000 0.400000000000    5361215           1.67
       1.000 0.500000000000    5361215           2.00
       1.000 0.550000000000    5361215           2.22
       1.000 0.600000000000    5361215           2.50
       1.000 0.650000000000    5361215           2.86
       1.000 0.700000000000    5361215           3.33
       1.000 0.750000000000    5361215           4.00
       1.000 0.775000000000    5361215           4.44
       1.000 0.800000000000    5361215           5.00
       1.000 0.825000000000    5361215           5.71
       1.000 0.850000000000    5361215           6.67
       1.000 0.875000000000    5361215           8.00
       1.000 0.887500000000    5361215           8.89
       2.000 0.900000000000    5999949          10.00
       2.000 0.912500000000    5999949          11.43
       2.000 0.925000000000    5999949          13.33
       2.000 0.937500000000    5999949          16.00
       2.000 0.943750000000    5999949          17.78
       2.000 0.950000000000    5999949          20.00
       2.000 0.956250000000    5999949          22.86
       2.000 0.962500000000    5999949          26.67
       2.000 0.968750000000    5999949          32.00
       2.000 0.971875000000    5999949          35.56
       2.000 0.975000000000    5999949          40.00
       2.000 0.978125000000    5999949          45.71
       2.000 0.981250000000    5999949          53.33
       2.000 0.984375000000    5999949          64.00
       2.000 0.985937500000    5999949          71.11
       2.000 0.987500000000    5999949          80.00
       2.000 0.989062500000    5999949          91.43
       2.000 0.990625000000    5999949         106.67
       2.000 0.992187500000    5999949         128.00
       2.000 0.992968750000    5999949         142.22
       2.000 0.993750000000    5999949         160.00
       2.000 0.994531250000    5999949         182.86
       2.000 0.995312500000    5999949         213.33
       2.000 0.996093750000    5999949         256.00
       2.000 0.996484375000    5999949         284.44
       2.000 0.996875000000    5999949         320.00
       2.000 0.997265625000    5999949         365.71
       2.000 0.997656250000    5999949         426.67
       2.000 0.998046875000    5999949         512.00
       2.000 0.998242187500    5999949         568.89
       2.000 0.998437500000    5999949         640.00
       2.000 0.998632812500    5999949         731.43
       2.000 0.998828125000    5999949         853.33
       2.000 0.999023437500    5999949        1024.00
       2.000 0.999121093750    5999949        1137.78
       2.000 0.999218750000    5999949        1280.00
       2.000 0.999316406250    5999949        1462.86
       2.000 0.999414062500    5999949        1706.67
       2.000 0.999511718750    5999949        2048.00
       2.000 0.999560546875    5999949        2275.56
       2.000 0.999609375000    5999949        2560.00
       2.000 0.999658203125    5999949        2925.71
       2.000 0.999707031250    5999949        3413.33
       2.000 0.999755859375    5999949        4096.00
       2.000 0.999780273438    5999949        4551.11
       2.000 0.999804687500    5999949        5120.00
       2.000 0.999829101563    5999949        5851.43
       2.000 0.999853515625    5999949        6826.67
       2.000 0.999877929688    5999949        8192.00
       2.000 0.999890136719    5999949        9102.22
       2.000 0.999902343750    5999949       10240.00
       2.000 0.999914550781    5999949       11702.86
       2.000 0.999926757813    5999949       13653.33
       2.000 0.999938964844    5999949       16384.00
       2.000 0.999945068359    5999949       18204.44
       2.000 0.999951171875    5999949       20480.00
       2.000 0.999957275391    5999949       23405.71
       2.000 0.999963378906    5999949       27306.67
       2.000 0.999969482422    5999949       32768.00
       2.000 0.999972534180    5999949       36408.89
       2.000 0.999975585938    5999949       40960.00
       2.000 0.999978637695    5999949       46811.43
       2.000 0.999981689453    5999949       54613.33
       2.000 0.999984741211    5999949       65536.00
       2.000 0.999986267090    5999949       72817.78
       2.000 0.999987792969    5999949       81920.00
       2.000 0.999989318848    5999949       93622.86
       2.000 0.999990844727    5999949      109226.67
       3.000 0.999992370605    5999971      131072.00
       3.000 0.999993133545    5999971      145635.56
       3.000 0.999993896484    5999971      163840.00
       3.000 0.999994659424    5999971      187245.71
       4.000 0.999995422363    6000000      218453.33
       4.000 1.000000000000    6000000
#[Mean    =        1.106, StdDeviation   =        0.309]
#[Max     =        4.000, Total count    =      6000000]
#[Buckets =            4, SubBuckets     =         2048]
