       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000    5999697           1.00
       0.000 0.100000000000    5999697           1.11
       0.000 0.200000000000    5999697           1.25
       0.000 0.300000000000    5999697           1.43
       0.000 0.400000000000    5999697           1.67
       0.000 0.500000000000    5999697           2.00
       0.000 0.550000000000    5999697           2.22
       0.000 0.600000000000    5999697           2.50
       0.000 0.650000000000    5999697           2.86
       0.000 0.700000000000    5999697           3.33
       0.000 0.750000000000    5999697           4.00
       0.000 0.775000000000    5999697           4.44
       0.000 0.800000000000    5999697           5.00
       0.000 0.825000000000    5999697           5.71
       0.000 0.850000000000    5999697           6.67
       0.000 0.875000000000    5999697           8.00
       0.000 0.887500000000    5999697           8.89
       0.000 0.900000000000    5999697          10.00
       0.000 0.912500000000    5999697          11.43
       0.000 0.925000000000    5999697          13.33
       0.000 0.937500000000    5999697          16.00
       0.000 0.943750000000    5999697          17.78
       0.000 0.950000000000    5999697          20.00
       0.000 0.956250000000    5999697          22.86
       0.000 0.962500000000    5999697          26.67
       0.000 0.968750000000    5999697          32.00
       0.000 0.971875000000    5999697          35.56
       0.000 0.975000000000    5999697          40.00
       0.000 0.978125000000    5999697          45.71
       0.000 0.981250000000    5999697          53.33
       0.000 0.984375000000    5999697          64.00
       0.000 0.985937500000    5999697          71.11
       0.000 0.987500000000    5999697          80.00
       0.000 0.989062500000    5999697          91.43
       0.000 0.990625000000    5999697         106.67
       0.000 0.992187500000    5999697         128.00
       0.000 0.992968750000    5999697         142.22
       0.000 0.993750000000    5999697         160.00
       0.000 0.994531250000    5999697         182.86
       0.000 0.995312500000    5999697         213.33
       0.000 0.996093750000    5999697         256.00
       0.000 0.996484375000    5999697         284.44
       0.000 0.996875000000    5999697         320.00
       0.000 0.997265625000    5999697         365.71
       0.000 0.997656250000    5999697         426.67
       0.000 0.998046875000    5999697         512.00
       0.000 0.998242187500    5999697         568.89
       0.000 0.998437500000    5999697         640.00
       0.000 0.998632812500    5999697         731.43
       0.000 0.998828125000    5999697         853.33
       0.000 0.999023437500    5999697        1024.00
       0.000 0.999121093750    5999697        1137.78
       0.000 0.999218750000    5999697        1280.00
       0.000 0.999316406250    5999697        1462.86
       0.000 0.999414062500    5999697        1706.67
       0.000 0.999511718750    5999697        2048.00
       0.000 0.999560546875    5999697        2275.56
       0.000 0.999609375000    5999697        2560.00
       0.000 0.999658203125    5999697        2925.71
       0.000 0.999707031250    5999697        3413.33
       0.000 0.999755859375    5999697        4096.00
       0.000 0.999780273438    5999697        4551.11
       0.000 0.999804687500    5999697        5120.00
       0.000 0.999829101563    5999697        5851.43
       0.000 0.999853515625    5999697        6826.67
       0.000 0.999877929688    5999697        8192.00
       0.000 0.999890136719    5999697        9102.22
       0.000 0.999902343750    5999697       10240.00
       0.000 0.999914550781    5999697       11702.86
       0.000 0.999926757813    5999697       13653.33
       0.000 0.999938964844    5999697       16384.00
       0.000 0.999945068359    5999697       18204.44
       1.000 0.999951171875    5999924       20480.00
       1.000 0.999957275391    5999924       23405.71
       1.000 0.999963378906    5999924       27306.67
       1.000 0.999969482422    5999924       32768.00
       1.000 0.999972534180    5999924       36408.89
       1.000 0.999975585938    5999924       40960.00
       1.000 0.999978637695    5999924       46811.43
       1.000 0.999981689453    5999924       54613.33
       1.000 0.999984741211    5999924       65536.00
       1.000 0.999986267090    5999924       72817.78
       2.000 0.999987792969    5999939       81920.00
       2.000 0.999989318848    5999939       93622.86
       3.000 0.999990844727    5999973      109226.67
       3.000 0.999992370605    5999973      131072.00
       3.000 0.999993133545    5999973      145635.56
       3.000 0.999993896484    5999973      163840.00
       3.000 0.999994659424    5999973      187245.71
       3.000 0.999995422363    5999973      218453.33
       4.000 0.999996185303    6000000      262144.00
       4.000 1.000000000000    6000000
#[Mean    =        0.000, StdDeviation   =        0.013]
#[Max     =        4.000, Total count    =      6000000]
#[Buckets =            4, SubBuckets     =         2048]
