       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000    4342342           1.00
       0.000 0.100000000000    4342342           1.11
       0.000 0.200000000000    4342342           1.25
       1.000 0.300000000000    8032268           1.43
       1.000 0.400000000000    8032268           1.67
       1.000 0.500000000000    8032268           2.00
       2.000 0.550000000000    9748745           2.22
       2.000 0.600000000000    9748745           2.50
       3.000 0.650000000000   10343583           2.86
       5.000 0.700000000000   10505658           3.33
      20.000 0.750000000000   11262189           4.00
      28.000 0.775000000000   11640287           4.44
      36.000 0.800000000000   12009007           5.00
      45.000 0.825000000000   12410221           5.71
      54.000 0.850000000000   12778508           6.67
      64.000 0.875000000000   13138096           8.00
      70.000 0.887500000000   13331430           8.89
      76.000 0.900000000000   13508692          10.00
      83.000 0.912500000000   13699339          11.43
      91.000 0.925000000000   13892928          13.33
     100.000 0.937500000000   14081881          16.00
     104.000 0.943750000000   14157239          17.78
     110.000 0.950000000000   14261289          20.00
     116.000 0.956250000000   14354026          22.86
     123.000 0.962500000000   14446984          26.67
     131.000 0.968750000000   14538405          32.00
     136.000 0.971875000000   14587223          35.56
     141.000 0.975000000000   14631611          40.00
     147.000 0.978125000000   14678431          45.71
     153.000 0.981250000000   14719544          53.33
     161.000 0.984375000000   14765778          64.00
     166.000 0.985937500000   14791286          71.11
     171.000 0.987500000000   14813782          80.00
     177.000 0.989062500000   14837165          91.43
     184.000 0.990625000000   14860726         106.67
     192.000 0.992187500000   14883420         128.00
     197.000 0.992968750000   14895647         142.22
     202.000 0.993750000000   14906644         160.00
     208.000 0.994531250000   14918414         182.86
     215.000 0.995312500000   14930506         213.33
     223.000 0.996093750000   14942208         256.00
     228.000 0.996484375000   14948329         284.44
     233.000 0.996875000000   14953994         320.00
     238.000 0.997265625000   14959071         365.71
     245.000 0.997656250000   14965214         426.67
     253.000 0.998046875000   14971190         512.00
     257.000 0.998242187500   14973702         568.89
     262.000 0.998437500000   14976591         640.00
     268.000 0.998632812500   14979570         731.43
     275.000 0.998828125000   14982663         853.33
     283.000 0.999023437500   14985665        1024.00
     287.000 0.999121093750   14986934        1137.78
     292.000 0.999218750000   14988422        1280.00
     298.000 0.999316406250   14989953        1462.86
     304.000 0.999414062500   14991311        1706.67
     312.000 0.999511718750   14992765        2048.00
     316.000 0.999560546875   14993413        2275.56
     322.000 0.999609375000   14994253        2560.00
     327.000 0.999658203125   14994904        2925.71
     334.000 0.999707031250   14995672        3413.33
     342.000 0.999755859375   14996423        4096.00
     346.000 0.999780273438   14996730        4551.11
     351.000 0.999804687500   14997087        5120.00
     357.000 0.999829101563   14997474        5851.43
     363.000 0.999853515625   14997825        6826.67
     371.000 0.999877929688   14998204        8192.00
     375.000 0.999890136719   14998359        9102.22
     380.000 0.999902343750   14998546       10240.00
     386.000 0.999914550781   14998725       11702.86
     392.000 0.999926757813   14998909       13653.33
     400.000 0.999938964844   14999101       16384.00
     405.000 0.999945068359   14999201       18204.44
     409.000 0.999951171875   14999275       20480.00
     415.000 0.999957275391   14999367       23405.71
     422.000 0.999963378906   14999458       27306.67
     431.000 0.999969482422   14999548       32768.00
     435.000 0.999972534180   14999591       36408.89
     440.000 0.999975585938   14999634       40960.00
     445.000 0.999978637695   14999680       46811.43
     453.000 0.999981689453   14999732       54613.33
     461.000 0.999984741211   14999773       65536.00
     466.000 0.999986267090   14999800       72817.78
     470.000 0.999987792969   14999826       81920.00
     474.000 0.999989318848   14999845       93622.86
     481.000 0.999990844727   14999865      109226.67
     490.000 0.999992370605   14999889      131072.00
     495.000 0.999993133545   14999900      145635.56
     498.000 0.999993896484   14999909      163840.00
     505.000 0.999994659424   14999921      187245.71
     511.000 0.999995422363   14999933      218453.33
     520.000 0.999996185303   14999943      262144.00
     528.000 0.999996566772   14999950      291271.11
     532.000 0.999996948242   14999955      327680.00
     540.000 0.999997329712   14999960      374491.43
     547.000 0.999997711182   14999966      436906.67
     555.000 0.999998092651   14999973      524288.00
     557.000 0.999998283386   14999975      582542.22
     561.000 0.999998474121   14999978      655360.00
     565.000 0.999998664856   14999980      748982.86
     590.000 0.999998855591   14999983      873813.33
     595.000 0.999999046326   14999986     1048576.00
     598.000 0.999999141693   14999988     1165084.44
     600.000 0.999999237061   14999990     1310720.00
     600.000 0.999999332428   14999990     1497965.71
     606.000 0.999999427795   14999992     1747626.67
     609.000 0.999999523163   14999993     2097152.00
     610.000 0.999999570847   14999994     2330168.89
     611.000 0.999999618530   14999995     2621440.00
     611.000 0.999999666214   14999995     2995931.43
     621.000 0.999999713898   14999996     3495253.33
     653.000 0.999999761581   14999997     4194304.00
     653.000 0.999999785423   14999997     4660337.78
     672.000 0.999999809265   14999998     5242880.00
     672.000 0.999999833107   14999998     5991862.86
     672.000 0.999999856949   14999998     6990506.67
     707.000 0.999999880791   14999999     8388608.00
     707.000 0.999999892712   14999999     9320675.55
     707.000 0.999999904633   14999999    10485760.00
     707.000 0.999999916553   14999999    11983725.71
     707.000 0.999999928474   14999999    13981013.34
     732.000 0.999999940395   15000000    16777216.00
     732.000 1.000000000000   15000000
#[Mean    =       20.424, StdDeviation   =       40.654]
#[Max     =      732.000, Total count    =     15000000]
#[Buckets =            4, SubBuckets     =         2048]
