       Value     Percentile TotalCount 1/(1-Percentile)
       1.000 0.000000000000     983088           1.00
       1.000 0.100000000000     983088           1.11
       2.000 0.200000000000    1454843           1.25
       7.000 0.300000000000    1827562           1.43
       9.000 0.400000000000    2423477           1.67
      13.000 0.500000000000    3017321           2.00
      19.000 0.550000000000    3327320           2.22
      26.000 0.600000000000    3609233           2.50
      35.000 0.650000000000    3902036           2.86
      46.000 0.700000000000    4205955           3.33
      59.000 0.750000000000    4508570           4.00
      66.000 0.775000000000    4653200           4.44
      74.000 0.800000000000    4801516           5.00
      83.000 0.825000000000    4951236           5.71
      94.000 0.850000000000    5108826           6.67
     106.000 0.875000000000    5256580           8.00
     113.000 0.887500000000    5333114           8.89
     120.000 0.900000000000    5401637          10.00
     129.000 0.912500000000    5480239          11.43
     139.000 0.925000000000    5554441          13.33
     150.000 0.937500000000    5625493          16.00
     157.000 0.943750000000    5665667          17.78
     164.000 0.950000000000    5702418          20.00
     172.000 0.956250000000    5740739          22.86
     181.000 0.962500000000    5778161          26.67
     191.000 0.968750000000    5813240          32.00
     197.000 0.971875000000    5832189          35.56
     204.000 0.975000000000    5851728          40.00
     211.000 0.978125000000    5869477          45.71
     219.000 0.981250000000    5887765          53.33
     229.000 0.984375000000    5906465          64.00
     235.000 0.985937500000    5916153          71.11
     241.000 0.987500000000    5925295          80.00
     248.000 0.989062500000    5934839          91.43
     256.000 0.990625000000    5944349         106.67
     265.000 0.992187500000    5953301         128.00
     271.000 0.992968750000    5958611         142.22
     277.000 0.993750000000    5963167         160.00
     283.000 0.994531250000    5967342         182.86
     291.000 0.995312500000    5972149         213.33
     300.000 0.996093750000    5976654         256.00
     305.000 0.996484375000    5978922         284.44
     312.000 0.996875000000    5981480         320.00
     319.000 0.997265625000    5983868         365.71
     326.000 0.997656250000    5985984         426.67
     335.000 0.998046875000    5988301         512.00
     341.000 0.998242187500    5989650         568.89
     346.000 0.998437500000    5990690         640.00
     353.000 0.998632812500    5991871         731.43
     360.000 0.998828125000    5992971         853.33
     369.000 0.999023437500    5994165        1024.00
     375.000 0.999121093750    5994852        1137.78
     380.000 0.999218750000    5995360        1280.00
     386.000 0.999316406250    5995901        1462.86
     395.000 0.999414062500    5996519        1706.67
     404.000 0.999511718750    5997082        2048.00
     410.000 0.999560546875    5997381        2275.56
     415.000 0.999609375000    5997657        2560.00
     422.000 0.999658203125    5997964        2925.71
     429.000 0.999707031250    5998244        3413.33
     438.000 0.999755859375    5998546        4096.00
     443.000 0.999780273438    5998701        4551.11
     449.000 0.999804687500    5998843        5120.00
     455.000 0.999829101563    5998986        5851.43
     463.000 0.999853515625    5999129        6826.67
     474.000 0.999877929688    5999289        8192.00
     478.000 0.999890136719    5999350        9102.22
     485.000 0.999902343750    5999417       10240.00
     493.000 0.999914550781    5999488       11702.86
     503.000 0.999926757813    5999568       13653.33
     512.000 0.999938964844    5999634       16384.00
     518.000 0.999945068359    5999674       18204.44
     525.000 0.999951171875    5999710       20480.00
     531.000 0.999957275391    5999748       23405.71
     537.000 0.999963378906    5999787       27306.67
     540.000 0.999969482422    5999818       32768.00
     545.000 0.999972534180    5999840       36408.89
     548.000 0.999975585938    5999857       40960.00
     555.000 0.999978637695    5999872       46811.43
     564.000 0.999981689453    5999894       54613.33
     571.000 0.999984741211    5999914       65536.00
     572.000 0.999986267090    5999918       72817.78
     577.000 0.999987792969    5999928       81920.00
     584.000 0.999989318848    5999936       93622.86
     595.000 0.999990844727    5999947      109226.67
     601.000 0.999992370605    5999955      131072.00
     604.000 0.999993133545    5999959      145635.56
     612.000 0.999993896484    5999964      163840.00
     615.000 0.999994659424    5999969      187245.71
     620.000 0.999995422363    5999973      218453.33
     634.000 0.999996185303    5999980      262144.00
     634.000 0.999996566772    5999980      291271.11
     639.000 0.999996948242    5999982      327680.00
     651.000 0.999997329712    5999986      374491.43
     652.000 0.999997711182    5999987      436906.67
     683.000 0.999998092651    5999989      524288.00
     714.000 0.999998283386    5999990      582542.22
     717.000 0.999998474121    5999992      655360.00
     717.000 0.999998664856    5999992      748982.86
     718.000 0.999998855591    5999996      873813.33
     718.000 0.999999046326    5999996     1048576.00
     718.000 0.999999141693    5999996     1165084.44
     718.000 0.999999237061    5999996     1310720.00
     718.000 0.999999332428    5999996     1497965.71
     725.000 0.999999427795    5999997     1747626.67
     738.000 0.999999523163    5999999     2097152.00
     738.000 0.999999570847    5999999     2330168.89
     738.000 0.999999618530    5999999     2621440.00
     738.000 0.999999666214    5999999     2995931.43
     738.000 0.999999713898    5999999     3495253.33
     738.000 0.999999761581    5999999     4194304.00
     738.000 0.999999785423    5999999     4660337.78
     738.000 0.999999809265    5999999     5242880.00
     738.000 0.999999833107    5999999     5991862.86
     748.000 0.999999856949    6000000     6990506.67
     748.000 1.000000000000    6000000
#[Mean    =       41.509, StdDeviation   =       57.180]
#[Max     =      748.000, Total count    =      6000000]
#[Buckets =            4, SubBuckets     =         2048]
