       Value     Percentile TotalCount 1/(1-Percentile)
       1.000 0.000000000000    1236021           1.00
       1.000 0.100000000000    1236021           1.11
       1.000 0.200000000000    1236021           1.25
       1.000 0.300000000000    1236021           1.43
       1.000 0.400000000000    1236021           1.67
       2.000 0.500000000000    2632150           2.00
       2.000 0.550000000000    2632150           2.22
       2.000 0.600000000000    2632150           2.50
       2.000 0.650000000000    2632150           2.86
       2.000 0.700000000000    2632150           3.33
       2.000 0.750000000000    2632150           4.00
       2.000 0.775000000000    2632150           4.44
       2.000 0.800000000000    2632150           5.00
       2.000 0.825000000000    2632150           5.71
       2.000 0.850000000000    2632150           6.67
       2.000 0.875000000000    2632150           8.00
       2.000 0.887500000000    2632150           8.89
       2.000 0.900000000000    2632150          10.00
       2.000 0.912500000000    2632150          11.43
       2.000 0.925000000000    2632150          13.33
       2.000 0.937500000000    2632150          16.00
       2.000 0.943750000000    2632150          17.78
       2.000 0.950000000000    2632150          20.00
       3.000 0.956250000000    2641207          22.86
      42.000 0.962500000000    2667191          26.67
      43.000 0.968750000000    2687539          32.00
      43.000 0.971875000000    2687539          35.56
      44.000 0.975000000000    2708512          40.00
      44.000 0.978125000000    2708512          45.71
      44.000 0.981250000000    2708512          53.33
      45.000 0.984375000000    2727250          64.00
      45.000 0.985937500000    2727250          71.11
      45.000 0.987500000000    2727250          80.00
      46.000 0.989062500000    2735908          91.43
      46.000 0.990625000000    2735908         106.67
      47.000 0.992187500000    2744409         128.00
      47.000 0.992968750000    2744409         142.22
      47.000 0.993750000000    2744409         160.00
      48.000 0.994531250000    2752760         182.86
      48.000 0.995312500000    2752760         213.33
      48.000 0.996093750000    2752760         256.00
      48.000 0.996484375000    2752760         284.44
      48.000 0.996875000000    2752760         320.00
      48.000 0.997265625000    2752760         365.71
      49.000 0.997656250000    2759870         426.67
      49.000 0.998046875000    2759870         512.00
      49.000 0.998242187500    2759870         568.89
      49.000 0.998437500000    2759870         640.00
      49.000 0.998632812500    2759870         731.43
      49.000 0.998828125000    2759870         853.33
      49.000 0.999023437500    2759870        1024.00
      49.000 0.999121093750    2759870        1137.78
      49.000 0.999218750000    2759870        1280.00
      49.000 0.999316406250    2759870        1462.86
      49.000 0.999414062500    2759870        1706.67
      49.000 0.999511718750    2759870        2048.00
      49.000 0.999560546875    2759870        2275.56
      49.000 0.999609375000    2759870        2560.00
      49.000 0.999658203125    2759870        2925.71
      49.000 0.999707031250    2759870        3413.33
      49.000 0.999755859375    2759870        4096.00
      49.000 0.999780273438    2759870        4551.11
      49.000 0.999804687500    2759870        5120.00
      49.000 0.999829101563    2759870        5851.43
      49.000 0.999853515625    2759870        6826.67
      49.000 0.999877929688    2759870        8192.00
      49.000 0.999890136719    2759870        9102.22
      49.000 0.999902343750    2759870       10240.00
      49.000 0.999914550781    2759870       11702.86
      49.000 0.999926757813    2759870       13653.33
      49.000 0.999938964844    2759870       16384.00
      49.000 0.999945068359    2759870       18204.44
      49.000 0.999951171875    2759870       20480.00
      50.000 0.999957275391    2759985       23405.71
      50.000 0.999963378906    2759985       27306.67
      50.000 0.999969482422    2759985       32768.00
      50.000 0.999972534180    2759985       36408.89
      50.000 0.999975585938    2759985       40960.00
      50.000 0.999978637695    2759985       46811.43
      50.000 0.999981689453    2759985       54613.33
      50.000 0.999984741211    2759985       65536.00
      50.000 0.999986267090    2759985       72817.78
      50.000 0.999987792969    2759985       81920.00
      50.000 0.999989318848    2759985       93622.86
      50.000 0.999990844727    2759985      109226.67
      50.000 0.999992370605    2759985      131072.00
      50.000 0.999993133545    2759985      145635.56
      50.000 0.999993896484    2759985      163840.00
      51.000 0.999994659424    2759992      187245.71
      51.000 0.999995422363    2759992      218453.33
      51.000 0.999996185303    2759992      262144.00
      51.000 0.999996566772    2759992      291271.11
      51.000 0.999996948242    2759992      327680.00
      52.000 0.999997329712    2759996      374491.43
      52.000 0.999997711182    2759996      436906.67
      52.000 0.999998092651    2759996      524288.00
      52.000 0.999998283386    2759996      582542.22
      52.000 0.999998474121    2759996      655360.00
      53.000 0.999998664856    2759997      748982.86
      53.000 0.999998855591    2759997      873813.33
      54.000 0.999999046326    2759998     1048576.00
      54.000 0.999999141693    2759998     1165084.44
      54.000 0.999999237061    2759998     1310720.00
      57.000 0.999999332428    2759999     1497965.71
      57.000 0.999999427795    2759999     1747626.67
      57.000 0.999999523163    2759999     2097152.00
      57.000 0.999999570847    2759999     2330168.89
      57.000 0.999999618530    2759999     2621440.00
      60.000 0.999999666214    2760000     2995931.43
      60.000 1.000000000000    2760000
#[Mean    =        3.333, StdDeviation   =        8.622]
#[Max     =       60.000, Total count    =      2760000]
#[Buckets =            4, SubBuckets     =         2048]
