       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000    1087971           1.00
       0.000 0.100000000000    1087971           1.11
       0.000 0.200000000000    1087971           1.25
       0.000 0.300000000000    1087971           1.43
       1.000 0.400000000000    1822902           1.67
       1.000 0.500000000000    1822902           2.00
       1.000 0.550000000000    1822902           2.22
       1.000 0.600000000000    1822902           2.50
       2.000 0.650000000000    2407767           2.86
       2.000 0.700000000000    2407767           3.33
       2.000 0.750000000000    2407767           4.00
       2.000 0.775000000000    2407767           4.44
       2.000 0.800000000000    2407767           5.00
       3.000 0.825000000000    2996635           5.71
       3.000 0.850000000000    2996635           6.67
       3.000 0.875000000000    2996635           8.00
       3.000 0.887500000000    2996635           8.89
       3.000 0.900000000000    2996635          10.00
       3.000 0.912500000000    2996635          11.43
       3.000 0.925000000000    2996635          13.33
       3.000 0.937500000000    2996635          16.00
       3.000 0.943750000000    2996635          17.78
       3.000 0.950000000000    2996635          20.00
       3.000 0.956250000000    2996635          22.86
       3.000 0.962500000000    2996635          26.67
       3.000 0.968750000000    2996635          32.00
       3.000 0.971875000000    2996635          35.56
       3.000 0.975000000000    2996635          40.00
       3.000 0.978125000000    2996635          45.71
       3.000 0.981250000000    2996635          53.33
       3.000 0.984375000000    2996635          64.00
       3.000 0.985937500000    2996635          71.11
       3.000 0.987500000000    2996635          80.00
       3.000 0.989062500000    2996635          91.43
       3.000 0.990625000000    2996635         106.67
       3.000 0.992187500000    2996635         128.00
       3.000 0.992968750000    2996635         142.22
       3.000 0.993750000000    2996635         160.00
       3.000 0.994531250000    2996635         182.86
       3.000 0.995312500000    2996635         213.33
       3.000 0.996093750000    2996635         256.00
       3.000 0.996484375000    2996635         284.44
       3.000 0.996875000000    2996635         320.00
       3.000 0.997265625000    2996635         365.71
       3.000 0.997656250000    2996635         426.67
       3.000 0.998046875000    2996635         512.00
       3.000 0.998242187500    2996635         568.89
       3.000 0.998437500000    2996635         640.00
       3.000 0.998632812500    2996635         731.43
       3.000 0.998828125000    2996635         853.33
       4.000 0.999023437500    2999920        1024.00
       4.000 0.999121093750    2999920        1137.78
       4.000 0.999218750000    2999920        1280.00
       4.000 0.999316406250    2999920        1462.86
       4.000 0.999414062500    2999920        1706.67
       4.000 0.999511718750    2999920        2048.00
       4.000 0.999560546875    2999920        2275.56
       4.000 0.999609375000    2999920        2560.00
       4.000 0.999658203125    2999920        2925.71
       4.000 0.999707031250    2999920        3413.33
       4.000 0.999755859375    2999920        4096.00
       4.000 0.999780273438    2999920        4551.11
       4.000 0.999804687500    2999920        5120.00
       4.000 0.999829101563    2999920        5851.43
       4.000 0.999853515625    2999920        6826.67
       4.000 0.999877929688    2999920        8192.00
       4.000 0.999890136719    2999920        9102.22
       4.000 0.999902343750    2999920       10240.00
       4.000 0.999914550781    2999920       11702.86
       4.000 0.999926757813    2999920       13653.33
       4.000 0.999938964844    2999920       16384.00
       4.000 0.999945068359    2999920       18204.44
       4.000 0.999951171875    2999920       20480.00
       4.000 0.999957275391    2999920       23405.71
       4.000 0.999963378906    2999920       27306.67
       4.000 0.999969482422    2999920       32768.00
       4.000 0.999972534180    2999920       36408.89
       5.000 0.999975585938    3000000       40960.00
       5.000 1.000000000000    3000000
#[Mean    =        1.228, StdDeviation   =        1.141]
#[Max     =        5.000, Total count    =      3000000]
#[Buckets =            4, SubBuckets     =         2048]
